area_code,reference_area,area_type,year,working_pattern,value,units
S12000014,Falkirk,Local Authority,2001,All Patterns,22.8,%%
S12000014,Falkirk,Local Authority,2004,All Patterns,20.1,%%
S12000014,Falkirk,Local Authority,2009,All Patterns,22.6,%%
S12000014,Falkirk,Local Authority,2014,Full Time,23,%%
S12000014,Falkirk,Local Authority,1998,All Patterns,37.3,%%
S12000014,Falkirk,Local Authority,2016,Full Time,12.8,%%
S12000014,Falkirk,Local Authority,2009,Part Time,-3.1,%%
S12000014,Falkirk,Local Authority,2012,Part Time,-11.9,%%
S12000014,Falkirk,Local Authority,2005,Full Time,16,%%
S12000014,Falkirk,Local Authority,2003,All Patterns,22.2,%%
S12000014,Falkirk,Local Authority,2000,Part Time,-14.8,%%
S12000014,Falkirk,Local Authority,2006,Full Time,19.5,%%
S12000014,Falkirk,Local Authority,2015,All Patterns,23.1,%%
S12000014,Falkirk,Local Authority,2011,Full Time,2.3,%%
S12000014,Falkirk,Local Authority,2019,Full Time,4.4,%%
S12000014,Falkirk,Local Authority,2005,All Patterns,25.2,%%
S12000014,Falkirk,Local Authority,1998,Full Time,30.3,%%
S12000014,Falkirk,Local Authority,2012,Full Time,3.7,%%
S12000014,Falkirk,Local Authority,2004,Full Time,10.4,%%
S12000014,Falkirk,Local Authority,2016,All Patterns,22.9,%%
S12000014,Falkirk,Local Authority,2011,Part Time,4.7,%%
S12000014,Falkirk,Local Authority,2002,Part Time,2.8,%%
S12000014,Falkirk,Local Authority,1999,All Patterns,26.5,%%
S12000014,Falkirk,Local Authority,2008,Full Time,6.3,%%
S12000014,Falkirk,Local Authority,1997,Full Time,34.2,%%
S12000014,Falkirk,Local Authority,2001,Full Time,25.4,%%
S12000014,Falkirk,Local Authority,2002,All Patterns,28.6,%%
S12000014,Falkirk,Local Authority,2013,Full Time,12.9,%%
S12000017,Highland,Local Authority,2013,All Patterns,12.5,%%
S12000017,Highland,Local Authority,2017,Full Time,4.6,%%
S12000017,Highland,Local Authority,2010,All Patterns,22.8,%%
S12000017,Highland,Local Authority,2006,All Patterns,19.4,%%
S12000017,Highland,Local Authority,2003,All Patterns,22.6,%%
S12000017,Highland,Local Authority,2005,Full Time,5.5,%%
S12000017,Highland,Local Authority,2005,All Patterns,15,%%
S12000017,Highland,Local Authority,2012,All Patterns,20.8,%%
S12000017,Highland,Local Authority,2019,Full Time,7.5,%%
S12000017,Highland,Local Authority,2017,All Patterns,10.8,%%
S12000017,Highland,Local Authority,2000,Full Time,14.4,%%
S12000017,Highland,Local Authority,2017,Part Time,-1.1,%%
S12000017,Highland,Local Authority,2016,Part Time,-12.9,%%
S12000017,Highland,Local Authority,2018,Full Time,5.4,%%
S12000017,Highland,Local Authority,2009,All Patterns,20.2,%%
S12000017,Highland,Local Authority,2008,All Patterns,17,%%
S12000017,Highland,Local Authority,2006,Full Time,9.2,%%
S12000017,Highland,Local Authority,2019,All Patterns,11.9,%%
S12000017,Highland,Local Authority,2015,Full Time,4,%%
S12000017,Highland,Local Authority,1998,Full Time,23.1,%%
S12000017,Highland,Local Authority,2014,All Patterns,12.2,%%
S12000017,Highland,Local Authority,1999,Full Time,19.5,%%
S12000017,Highland,Local Authority,2007,Full Time,16.9,%%
S12000017,Highland,Local Authority,2014,Part Time,0.2,%%
S12000017,Highland,Local Authority,2015,All Patterns,10.2,%%
S12000017,Highland,Local Authority,1997,All Patterns,21.4,%%
S12000017,Highland,Local Authority,1997,Full Time,18.1,%%
S12000017,Highland,Local Authority,2011,Full Time,9.7,%%
S12000017,Highland,Local Authority,2018,All Patterns,12.1,%%
S12000017,Highland,Local Authority,2004,Part Time,5,%%
S12000017,Highland,Local Authority,2013,Full Time,7.9,%%
S12000017,Highland,Local Authority,1999,All Patterns,26.9,%%
S12000017,Highland,Local Authority,2004,Full Time,10.5,%%
S12000017,Highland,Local Authority,2001,Full Time,12.6,%%
S12000017,Highland,Local Authority,2002,All Patterns,22.8,%%
S12000017,Highland,Local Authority,2016,Full Time,2.2,%%
S12000017,Highland,Local Authority,2016,All Patterns,9.7,%%
S12000017,Highland,Local Authority,2000,All Patterns,23.7,%%
S12000017,Highland,Local Authority,2008,Full Time,5.9,%%
S12000017,Highland,Local Authority,2014,Full Time,3.1,%%
S12000017,Highland,Local Authority,2007,All Patterns,24.8,%%
S12000017,Highland,Local Authority,2013,Part Time,-13.2,%%
S12000017,Highland,Local Authority,2003,Full Time,13.8,%%
S12000017,Highland,Local Authority,2001,All Patterns,24.8,%%
S12000017,Highland,Local Authority,2018,Part Time,5.1,%%
S12000017,Highland,Local Authority,2004,All Patterns,18.7,%%
S12000017,Highland,Local Authority,1998,All Patterns,29.3,%%
S12000017,Highland,Local Authority,2011,All Patterns,17.9,%%
S12000017,Highland,Local Authority,2012,Full Time,12.1,%%
S12000017,Highland,Local Authority,2010,Full Time,16.2,%%
S12000017,Highland,Local Authority,2015,Part Time,-15.2,%%
S12000017,Highland,Local Authority,2019,Part Time,-25.9,%%
S12000017,Highland,Local Authority,2009,Full Time,12.1,%%
S12000017,Highland,Local Authority,2002,Full Time,7.2,%%
S12000018,Inverclyde,Local Authority,2009,All Patterns,11.9,%%
S12000018,Inverclyde,Local Authority,1999,All Patterns,18.2,%%
S12000018,Inverclyde,Local Authority,2006,Full Time,15.5,%%
S12000018,Inverclyde,Local Authority,2000,Full Time,19.5,%%
S12000018,Inverclyde,Local Authority,1998,Full Time,8.2,%%
S12000018,Inverclyde,Local Authority,2011,Full Time,0.1,%%
S12000018,Inverclyde,Local Authority,2015,All Patterns,31.1,%%
S12000018,Inverclyde,Local Authority,2012,Full Time,7.9,%%
S12000018,Inverclyde,Local Authority,2003,All Patterns,18.8,%%
S12000018,Inverclyde,Local Authority,2014,Full Time,17.7,%%
S12000018,Inverclyde,Local Authority,2000,Part Time,-10.7,%%
S12000018,Inverclyde,Local Authority,2008,All Patterns,17.4,%%
S12000018,Inverclyde,Local Authority,2011,All Patterns,12.8,%%
S12000018,Inverclyde,Local Authority,2018,Part Time,-8.5,%%
S12000018,Inverclyde,Local Authority,2010,Full Time,-1.4,%%
S12000018,Inverclyde,Local Authority,1997,All Patterns,18.6,%%
S12000018,Inverclyde,Local Authority,2018,Full Time,18.6,%%
S12000018,Inverclyde,Local Authority,2007,All Patterns,25.1,%%
S12000018,Inverclyde,Local Authority,2013,All Patterns,27.2,%%
S12000018,Inverclyde,Local Authority,2006,All Patterns,23.2,%%
S12000018,Inverclyde,Local Authority,2009,Full Time,-0.7,%%
S12000018,Inverclyde,Local Authority,1998,All Patterns,19.1,%%
S12000018,Inverclyde,Local Authority,2008,Full Time,15.2,%%
S12000018,Inverclyde,Local Authority,2005,Full Time,-2.4,%%
S12000018,Inverclyde,Local Authority,2016,Part Time,-12.9,%%
S12000018,Inverclyde,Local Authority,2019,Full Time,-0.2,%%
S12000018,Inverclyde,Local Authority,2013,Full Time,15.6,%%
S12000018,Inverclyde,Local Authority,2012,All Patterns,13.5,%%
S12000018,Inverclyde,Local Authority,2000,All Patterns,24.3,%%
S12000018,Inverclyde,Local Authority,2007,Full Time,22.8,%%
S12000018,Inverclyde,Local Authority,1999,Part Time,-4.6,%%
S12000018,Inverclyde,Local Authority,2014,All Patterns,30.2,%%
S12000018,Inverclyde,Local Authority,1999,Full Time,10,%%
S12000018,Inverclyde,Local Authority,2004,All Patterns,16.2,%%
S12000018,Inverclyde,Local Authority,2018,All Patterns,21.5,%%
S12000018,Inverclyde,Local Authority,2002,All Patterns,29.7,%%
S12000018,Inverclyde,Local Authority,2001,Full Time,15.5,%%
S12000018,Inverclyde,Local Authority,2016,Full Time,2.6,%%
S12000018,Inverclyde,Local Authority,2005,All Patterns,7.3,%%
S12000018,Inverclyde,Local Authority,2015,Full Time,4,%%
S12000018,Inverclyde,Local Authority,2004,Full Time,11.5,%%
S12000018,Inverclyde,Local Authority,2003,Full Time,9.1,%%
S12000018,Inverclyde,Local Authority,2017,All Patterns,26.3,%%
S12000018,Inverclyde,Local Authority,2001,All Patterns,21.2,%%
S12000018,Inverclyde,Local Authority,1997,Full Time,10.8,%%
S12000018,Inverclyde,Local Authority,2002,Full Time,13,%%
S12000018,Inverclyde,Local Authority,2010,All Patterns,14.1,%%
S12000019,Midlothian,Local Authority,1998,All Patterns,20.5,%%
S12000019,Midlothian,Local Authority,2011,All Patterns,27.7,%%
S12000019,Midlothian,Local Authority,2017,Full Time,18,%%
S12000019,Midlothian,Local Authority,2013,All Patterns,25.2,%%
S12000019,Midlothian,Local Authority,2007,All Patterns,14.1,%%
S12000019,Midlothian,Local Authority,2006,All Patterns,13.2,%%
S12000019,Midlothian,Local Authority,2012,All Patterns,26,%%
S12000019,Midlothian,Local Authority,1999,Part Time,-3.3,%%
S12000019,Midlothian,Local Authority,2004,All Patterns,19.1,%%
S12000019,Midlothian,Local Authority,2005,Full Time,-4.8,%%
S12000019,Midlothian,Local Authority,2009,All Patterns,20.2,%%
S12000019,Midlothian,Local Authority,2017,All Patterns,18.5,%%
S12000019,Midlothian,Local Authority,2005,All Patterns,13.3,%%
S12000019,Midlothian,Local Authority,2019,All Patterns,17.9,%%
S12000019,Midlothian,Local Authority,2008,All Patterns,24.2,%%
S12000019,Midlothian,Local Authority,2018,Full Time,22.2,%%
S12000019,Midlothian,Local Authority,2017,Part Time,-20.5,%%
S12000019,Midlothian,Local Authority,1999,All Patterns,13.3,%%
S12000019,Midlothian,Local Authority,2009,Part Time,6.1,%%
S12000019,Midlothian,Local Authority,2014,Full Time,8.9,%%
S12000019,Midlothian,Local Authority,2006,Part Time,-13.4,%%
S12000019,Midlothian,Local Authority,2016,All Patterns,20.5,%%
S12000019,Midlothian,Local Authority,1997,Full Time,-1,%%
S12000019,Midlothian,Local Authority,2012,Full Time,16.2,%%
S12000019,Midlothian,Local Authority,2010,All Patterns,26.1,%%
S12000019,Midlothian,Local Authority,2011,Full Time,12.8,%%
S12000019,Midlothian,Local Authority,2015,All Patterns,19.7,%%
S12000019,Midlothian,Local Authority,2010,Full Time,10,%%
S12000019,Midlothian,Local Authority,2019,Part Time,-7.9,%%
S12000019,Midlothian,Local Authority,2018,All Patterns,15.2,%%
S12000019,Midlothian,Local Authority,2018,Part Time,-7.9,%%
S12000019,Midlothian,Local Authority,2009,Full Time,13.1,%%
S12000019,Midlothian,Local Authority,2013,Full Time,14.8,%%
S12000019,Midlothian,Local Authority,2008,Full Time,11.8,%%
S12000019,Midlothian,Local Authority,2016,Full Time,8.7,%%
S12000019,Midlothian,Local Authority,2014,All Patterns,19.3,%%
S12000019,Midlothian,Local Authority,2000,All Patterns,24.7,%%
S12000019,Midlothian,Local Authority,2019,Full Time,16.6,%%
S12000019,Midlothian,Local Authority,2015,Full Time,8,%%
S12000020,Moray,Local Authority,2016,All Patterns,20.7,%%
S12000020,Moray,Local Authority,2014,All Patterns,10.8,%%
S12000020,Moray,Local Authority,2014,Full Time,8.8,%%
S12000020,Moray,Local Authority,2018,All Patterns,26.1,%%
S12000020,Moray,Local Authority,2012,Full Time,21.8,%%
S12000020,Moray,Local Authority,2010,Full Time,8.9,%%
S12000020,Moray,Local Authority,2014,Part Time,-13.1,%%
S12000020,Moray,Local Authority,2003,All Patterns,19,%%
S12000020,Moray,Local Authority,2019,Full Time,10.7,%%
S12000020,Moray,Local Authority,2017,All Patterns,20.1,%%
S12000020,Moray,Local Authority,2001,All Patterns,22.8,%%
S12000020,Moray,Local Authority,2015,All Patterns,23.1,%%
S12000020,Moray,Local Authority,2008,Full Time,20.9,%%
S12000020,Moray,Local Authority,2019,Part Time,8.5,%%
S12000020,Moray,Local Authority,2008,All Patterns,19.4,%%
S12000020,Moray,Local Authority,2006,All Patterns,18.5,%%
S12000020,Moray,Local Authority,2015,Full Time,13.5,%%
S12000020,Moray,Local Authority,2005,All Patterns,26.9,%%
S12000020,Moray,Local Authority,2000,All Patterns,27.9,%%
S12000020,Moray,Local Authority,2009,Full Time,21,%%
S12000020,Moray,Local Authority,2017,Full Time,-1.5,%%
S12000020,Moray,Local Authority,1998,All Patterns,31.2,%%
S12000020,Moray,Local Authority,2003,Full Time,13.5,%%
S12000020,Moray,Local Authority,2002,Full Time,21.5,%%
S12000020,Moray,Local Authority,2002,All Patterns,26.7,%%
S12000020,Moray,Local Authority,2004,All Patterns,26.6,%%
S12000020,Moray,Local Authority,2000,Part Time,25.7,%%
S12000020,Moray,Local Authority,2018,Full Time,4.8,%%
S12000020,Moray,Local Authority,2005,Full Time,23.3,%%
S12000020,Moray,Local Authority,2011,Part Time,-27.7,%%
S12000020,Moray,Local Authority,2009,All Patterns,23.4,%%
S12000020,Moray,Local Authority,2019,All Patterns,21.9,%%
S12000020,Moray,Local Authority,2015,Part Time,4.8,%%
S12000020,Moray,Local Authority,2001,Full Time,17.8,%%
S12000020,Moray,Local Authority,2000,Full Time,15.3,%%
S12000020,Moray,Local Authority,2011,All Patterns,17.9,%%
S12000020,Moray,Local Authority,2013,All Patterns,17,%%
S12000020,Moray,Local Authority,1999,Full Time,13.3,%%
S12000020,Moray,Local Authority,2007,Full Time,25.4,%%
S12000020,Moray,Local Authority,2010,All Patterns,18.6,%%
S12000020,Moray,Local Authority,2002,Part Time,10.2,%%
S12000020,Moray,Local Authority,2004,Full Time,20.8,%%
S12000020,Moray,Local Authority,2007,All Patterns,25.3,%%
S12000020,Moray,Local Authority,2012,All Patterns,26.8,%%
S12000020,Moray,Local Authority,1998,Full Time,23.5,%%
S12000020,Moray,Local Authority,1997,All Patterns,18.7,%%
S12000020,Moray,Local Authority,2011,Full Time,16.8,%%
S12000020,Moray,Local Authority,2013,Part Time,-22.3,%%
S12000020,Moray,Local Authority,1997,Full Time,12.3,%%
S12000020,Moray,Local Authority,2016,Full Time,12.2,%%
S12000020,Moray,Local Authority,2016,Part Time,-4.2,%%
S12000020,Moray,Local Authority,1999,All Patterns,19.4,%%
S12000020,Moray,Local Authority,2013,Full Time,18.2,%%
S12000020,Moray,Local Authority,2006,Full Time,14,%%
S12000021,North Ayrshire,Local Authority,2017,Full Time,3.8,%%
S12000021,North Ayrshire,Local Authority,2009,Full Time,23.8,%%
S12000021,North Ayrshire,Local Authority,2008,Full Time,1.4,%%
S12000021,North Ayrshire,Local Authority,2006,All Patterns,20.1,%%
S12000021,North Ayrshire,Local Authority,2004,Full Time,20.4,%%
S12000021,North Ayrshire,Local Authority,2007,Part Time,17.1,%%
S12000021,North Ayrshire,Local Authority,2012,All Patterns,16.4,%%
S12000021,North Ayrshire,Local Authority,2010,All Patterns,21.8,%%
S12000021,North Ayrshire,Local Authority,2011,Part Time,-3.8,%%
S12000021,North Ayrshire,Local Authority,1999,Full Time,23.5,%%
S12000021,North Ayrshire,Local Authority,2011,All Patterns,22,%%
S12000021,North Ayrshire,Local Authority,2008,All Patterns,7,%%
S12000021,North Ayrshire,Local Authority,2003,Full Time,12.9,%%
S12000021,North Ayrshire,Local Authority,2017,All Patterns,23.9,%%
S12000021,North Ayrshire,Local Authority,1997,Full Time,27.4,%%
S12000021,North Ayrshire,Local Authority,2019,All Patterns,8.1,%%
S12000021,North Ayrshire,Local Authority,2008,Part Time,-25.7,%%
S12000021,North Ayrshire,Local Authority,2013,All Patterns,24.1,%%
S12000021,North Ayrshire,Local Authority,2018,Part Time,-20.5,%%
S12000021,North Ayrshire,Local Authority,2019,Part Time,-17.3,%%
S12000021,North Ayrshire,Local Authority,2012,Full Time,12.7,%%
S12000021,North Ayrshire,Local Authority,1997,All Patterns,44.4,%%
S12000021,North Ayrshire,Local Authority,1998,Full Time,23.2,%%
S12000021,North Ayrshire,Local Authority,2000,Full Time,16.7,%%
S12000021,North Ayrshire,Local Authority,2018,All Patterns,17,%%
S12000021,North Ayrshire,Local Authority,2003,All Patterns,35.4,%%
S12000021,North Ayrshire,Local Authority,2018,Full Time,8.1,%%
S12000021,North Ayrshire,Local Authority,2007,All Patterns,25.7,%%
S12000021,North Ayrshire,Local Authority,2014,All Patterns,23.1,%%
S12000021,North Ayrshire,Local Authority,2016,All Patterns,14.1,%%
S12000021,North Ayrshire,Local Authority,2015,Full Time,12,%%
S12000021,North Ayrshire,Local Authority,2005,Full Time,19.3,%%
S12000021,North Ayrshire,Local Authority,2013,Full Time,12.2,%%
S12000021,North Ayrshire,Local Authority,2007,Full Time,20.2,%%
S12000021,North Ayrshire,Local Authority,2016,Full Time,8.5,%%
S12000021,North Ayrshire,Local Authority,2002,All Patterns,35.1,%%
S12000021,North Ayrshire,Local Authority,2011,Full Time,12.8,%%
S12000021,North Ayrshire,Local Authority,2014,Full Time,16.4,%%
S12000021,North Ayrshire,Local Authority,2017,Part Time,-2.9,%%
S12000021,North Ayrshire,Local Authority,2006,Full Time,10.7,%%
S12000021,North Ayrshire,Local Authority,2005,All Patterns,28.9,%%
S12000021,North Ayrshire,Local Authority,2002,Full Time,16.3,%%
S12000021,North Ayrshire,Local Authority,2009,All Patterns,22.8,%%
S12000021,North Ayrshire,Local Authority,2019,Full Time,-1.5,%%
S12000021,North Ayrshire,Local Authority,1999,All Patterns,36.2,%%
S12000021,North Ayrshire,Local Authority,2015,All Patterns,23.8,%%
S12000021,North Ayrshire,Local Authority,2010,Part Time,-5.9,%%
S12000021,North Ayrshire,Local Authority,2010,Full Time,9.3,%%
S12000021,North Ayrshire,Local Authority,2004,All Patterns,31,%%
S12000021,North Ayrshire,Local Authority,2001,Full Time,27.1,%%
S12000023,Orkney Islands,Local Authority,2019,Full Time,22.9,%%
S12000023,Orkney Islands,Local Authority,2014,All Patterns,7.4,%%
S12000023,Orkney Islands,Local Authority,2003,Part Time,-1.9,%%
S12000023,Orkney Islands,Local Authority,2017,All Patterns,5.1,%%
S12000023,Orkney Islands,Local Authority,2015,Part Time,16.9,%%
S12000023,Orkney Islands,Local Authority,2013,Part Time,-13.5,%%
S12000023,Orkney Islands,Local Authority,2019,All Patterns,20.2,%%
S12000023,Orkney Islands,Local Authority,2016,Part Time,-5,%%
S12000023,Orkney Islands,Local Authority,2017,Part Time,-6.3,%%
S12000023,Orkney Islands,Local Authority,2012,Part Time,-3.9,%%
S12000026,Scottish Borders,Local Authority,2004,Full Time,18,%%
S12000026,Scottish Borders,Local Authority,2015,All Patterns,9.9,%%
S12000026,Scottish Borders,Local Authority,2000,Full Time,8,%%
S12000026,Scottish Borders,Local Authority,2013,Full Time,-4.3,%%
S12000026,Scottish Borders,Local Authority,2007,Full Time,16.1,%%
S12000026,Scottish Borders,Local Authority,2016,Part Time,-21.9,%%
S12000026,Scottish Borders,Local Authority,2008,Part Time,-36,%%
S12000026,Scottish Borders,Local Authority,2011,Full Time,11.2,%%
S12000026,Scottish Borders,Local Authority,2007,All Patterns,20.6,%%
S12000026,Scottish Borders,Local Authority,2014,Part Time,-36.9,%%
S12000026,Scottish Borders,Local Authority,2004,All Patterns,23,%%
S12000026,Scottish Borders,Local Authority,2010,Full Time,0.2,%%
S12000026,Scottish Borders,Local Authority,2001,All Patterns,20.1,%%
S12000026,Scottish Borders,Local Authority,2003,Part Time,13.4,%%
S12000026,Scottish Borders,Local Authority,2008,All Patterns,12.1,%%
S12000026,Scottish Borders,Local Authority,1997,All Patterns,27.5,%%
S12000026,Scottish Borders,Local Authority,2002,Full Time,14.1,%%
S12000026,Scottish Borders,Local Authority,2015,Full Time,-0.6,%%
S12000026,Scottish Borders,Local Authority,2002,Part Time,-14.2,%%
S12000026,Scottish Borders,Local Authority,2010,All Patterns,10,%%
S12000026,Scottish Borders,Local Authority,2014,Full Time,-6.2,%%
S12000026,Scottish Borders,Local Authority,2000,Part Time,-31.6,%%
S12000026,Scottish Borders,Local Authority,2005,Full Time,8.6,%%
S12000026,Scottish Borders,Local Authority,2011,Part Time,-14.5,%%
S12000026,Scottish Borders,Local Authority,2017,All Patterns,21.3,%%
S12000026,Scottish Borders,Local Authority,2001,Full Time,21.3,%%
S12000026,Scottish Borders,Local Authority,2010,Part Time,-31.9,%%
S12000026,Scottish Borders,Local Authority,1999,Full Time,7.6,%%
S12000026,Scottish Borders,Local Authority,2002,All Patterns,18.6,%%
S12000026,Scottish Borders,Local Authority,2017,Full Time,9.2,%%
S12000026,Scottish Borders,Local Authority,2014,All Patterns,4.3,%%
S12000026,Scottish Borders,Local Authority,2008,Full Time,11,%%
S12000026,Scottish Borders,Local Authority,2011,All Patterns,11.2,%%
S12000026,Scottish Borders,Local Authority,2001,Part Time,-30.6,%%
S12000026,Scottish Borders,Local Authority,2018,Full Time,1.9,%%
S12000026,Scottish Borders,Local Authority,2005,All Patterns,11,%%
S12000026,Scottish Borders,Local Authority,2009,Full Time,4.8,%%
S12000026,Scottish Borders,Local Authority,2016,All Patterns,11.2,%%
S12000026,Scottish Borders,Local Authority,2005,Part Time,-10.1,%%
S12000026,Scottish Borders,Local Authority,2018,All Patterns,10.3,%%
S12000026,Scottish Borders,Local Authority,2006,All Patterns,11.6,%%
S12000026,Scottish Borders,Local Authority,2000,All Patterns,12.9,%%
S12000026,Scottish Borders,Local Authority,2006,Full Time,4.3,%%
S12000026,Scottish Borders,Local Authority,2016,Full Time,1.5,%%
S12000026,Scottish Borders,Local Authority,2013,Part Time,-27,%%
S12000026,Scottish Borders,Local Authority,2013,All Patterns,6.3,%%
S12000026,Scottish Borders,Local Authority,2003,Full Time,10.5,%%
S12000026,Scottish Borders,Local Authority,2003,All Patterns,16.6,%%
S12000026,Scottish Borders,Local Authority,2009,All Patterns,3.8,%%
S12000026,Scottish Borders,Local Authority,2019,All Patterns,5.4,%%
S12000026,Scottish Borders,Local Authority,1998,All Patterns,23,%%
S12000026,Scottish Borders,Local Authority,1997,Part Time,64.1,%%
S12000026,Scottish Borders,Local Authority,1997,Full Time,24.3,%%
S12000026,Scottish Borders,Local Authority,2019,Full Time,3.3,%%
S12000026,Scottish Borders,Local Authority,1998,Part Time,-11.4,%%
S12000026,Scottish Borders,Local Authority,2012,Full Time,-1.2,%%
S12000026,Scottish Borders,Local Authority,2012,All Patterns,1.4,%%
S12000026,Scottish Borders,Local Authority,1998,Full Time,20.5,%%
S12000027,Shetland Islands,Local Authority,2016,Part Time,-7.9,%%
S12000027,Shetland Islands,Local Authority,1997,Full Time,14.5,%%
S12000027,Shetland Islands,Local Authority,2003,Full Time,6.5,%%
S12000027,Shetland Islands,Local Authority,2018,All Patterns,14.7,%%
S12000027,Shetland Islands,Local Authority,2019,Full Time,2.2,%%
S12000027,Shetland Islands,Local Authority,2013,All Patterns,14.3,%%
S12000027,Shetland Islands,Local Authority,2015,All Patterns,11.3,%%
S12000027,Shetland Islands,Local Authority,2014,All Patterns,7.1,%%
S12000027,Shetland Islands,Local Authority,2012,All Patterns,20.7,%%
S12000027,Shetland Islands,Local Authority,2011,All Patterns,17.9,%%
S12000027,Shetland Islands,Local Authority,2013,Part Time,16.2,%%
S12000027,Shetland Islands,Local Authority,2017,All Patterns,13.3,%%
S12000027,Shetland Islands,Local Authority,2010,All Patterns,15.3,%%
S12000027,Shetland Islands,Local Authority,2005,All Patterns,14.3,%%
S12000027,Shetland Islands,Local Authority,2000,Full Time,-24.5,%%
S12000027,Shetland Islands,Local Authority,1997,All Patterns,27.6,%%
S12000027,Shetland Islands,Local Authority,2016,All Patterns,20.7,%%
S12000027,Shetland Islands,Local Authority,2009,All Patterns,5.8,%%
S12000027,Shetland Islands,Local Authority,2005,Part Time,41.6,%%
S12000027,Shetland Islands,Local Authority,2019,All Patterns,1.1,%%
S12000027,Shetland Islands,Local Authority,2010,Full Time,5.4,%%
S12000027,Shetland Islands,Local Authority,2001,Full Time,-6.2,%%
S12000027,Shetland Islands,Local Authority,2004,All Patterns,25.3,%%
S12000027,Shetland Islands,Local Authority,2006,All Patterns,18.7,%%
S12000028,South Ayrshire,Local Authority,2000,All Patterns,30.8,%%
S12000028,South Ayrshire,Local Authority,2002,All Patterns,22.5,%%
S12000028,South Ayrshire,Local Authority,2004,Full Time,9.1,%%
S12000028,South Ayrshire,Local Authority,2008,Full Time,6.7,%%
S12000028,South Ayrshire,Local Authority,1997,Full Time,28.5,%%
S12000028,South Ayrshire,Local Authority,2016,All Patterns,22.3,%%
S12000028,South Ayrshire,Local Authority,2003,Part Time,-12.3,%%
S12000028,South Ayrshire,Local Authority,2010,All Patterns,30.9,%%
S12000028,South Ayrshire,Local Authority,2013,Full Time,13.2,%%
S12000028,South Ayrshire,Local Authority,2005,All Patterns,13.3,%%
S12000028,South Ayrshire,Local Authority,2016,Full Time,-0.7,%%
S12000028,South Ayrshire,Local Authority,1999,Full Time,18.6,%%
S12000028,South Ayrshire,Local Authority,2018,All Patterns,28.7,%%
S12000028,South Ayrshire,Local Authority,2019,Full Time,13.3,%%
S12000028,South Ayrshire,Local Authority,2000,Part Time,13,%%
S12000028,South Ayrshire,Local Authority,2006,All Patterns,22.5,%%
S12000028,South Ayrshire,Local Authority,2019,All Patterns,25.4,%%
S12000028,South Ayrshire,Local Authority,2015,All Patterns,26.2,%%
S12000028,South Ayrshire,Local Authority,2013,All Patterns,29.7,%%
S12000028,South Ayrshire,Local Authority,2018,Part Time,-20.5,%%
S12000028,South Ayrshire,Local Authority,2012,Full Time,11.4,%%
S12000028,South Ayrshire,Local Authority,1998,Part Time,-18.9,%%
S12000028,South Ayrshire,Local Authority,2003,Full Time,17,%%
S12000028,South Ayrshire,Local Authority,2014,Full Time,10.4,%%
S12000028,South Ayrshire,Local Authority,2018,Full Time,13,%%
S12000028,South Ayrshire,Local Authority,2007,All Patterns,21.3,%%
S12000028,South Ayrshire,Local Authority,2005,Full Time,-1.2,%%
S12000028,South Ayrshire,Local Authority,2003,All Patterns,28.5,%%
S12000028,South Ayrshire,Local Authority,2011,Full Time,4.1,%%
S12000028,South Ayrshire,Local Authority,2009,All Patterns,22.4,%%
S12000028,South Ayrshire,Local Authority,2014,Part Time,-1.4,%%
S12000028,South Ayrshire,Local Authority,1998,All Patterns,29.1,%%
S12000028,South Ayrshire,Local Authority,2001,Full Time,21.8,%%
S12000028,South Ayrshire,Local Authority,2011,All Patterns,24.7,%%
S12000028,South Ayrshire,Local Authority,1998,Full Time,17.2,%%
S12000028,South Ayrshire,Local Authority,1997,All Patterns,35.4,%%
S12000028,South Ayrshire,Local Authority,2017,Full Time,5.5,%%
S12000028,South Ayrshire,Local Authority,2007,Full Time,3,%%
S12000028,South Ayrshire,Local Authority,2010,Full Time,6.4,%%
S12000028,South Ayrshire,Local Authority,2002,Full Time,10.7,%%
S12000028,South Ayrshire,Local Authority,2015,Full Time,12.6,%%
S12000028,South Ayrshire,Local Authority,2004,Part Time,-24.8,%%
S12000028,South Ayrshire,Local Authority,2000,Full Time,23.1,%%
S12000028,South Ayrshire,Local Authority,2017,All Patterns,23,%%
S12000028,South Ayrshire,Local Authority,2012,Part Time,-0.5,%%
S12000028,South Ayrshire,Local Authority,2014,All Patterns,24.6,%%
S12000028,South Ayrshire,Local Authority,2001,All Patterns,32.6,%%
S12000028,South Ayrshire,Local Authority,2012,All Patterns,23.3,%%
S12000028,South Ayrshire,Local Authority,2019,Part Time,-14.6,%%
S12000028,South Ayrshire,Local Authority,2009,Full Time,3.3,%%
S12000028,South Ayrshire,Local Authority,2004,All Patterns,22,%%
S12000028,South Ayrshire,Local Authority,2008,All Patterns,25,%%
S12000028,South Ayrshire,Local Authority,2006,Full Time,4.6,%%
S12000028,South Ayrshire,Local Authority,2015,Part Time,3.9,%%
S12000029,South Lanarkshire,Local Authority,2001,All Patterns,28.2,%%
S12000029,South Lanarkshire,Local Authority,2013,Part Time,-16.1,%%
S12000029,South Lanarkshire,Local Authority,1997,Full Time,24.8,%%
S12000029,South Lanarkshire,Local Authority,2009,Part Time,2.6,%%
S12000029,South Lanarkshire,Local Authority,2014,Part Time,-10.1,%%
