area_code,reference_area,area_type,date_code,gender,age,measure_type,value,units
S12000038,Renfrewshire,Local Authority,2013/2014,Male,21-25 years,Ratio,29.3,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2012/2013,Male,26-30 years,Mean,0.54,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Male,21-25 years,Mean,0.41,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Male,21-25 years,Mean,0.52,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2012/2013,Male,Over 40 years,Mean,0.33,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2015/2016,Male,Under 21 years,Mean,0.71,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2017/2018,Male,26-30 years,Mean,0.35,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Male,26-30 years,Ratio,25.1,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2013/2014,Male,26-30 years,Ratio,25.1,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2015/2016,Male,26-30 years,Mean,0.48,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Male,Over 40 years,Mean,0.28,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2016/2017,Male,26-30 years,Mean,0.53,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2014/2015,Male,26-30 years,Mean,0.62,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2016/2017,Male,26-30 years,Ratio,30.8,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Male,21-25 years,Ratio,26.2,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2013/2014,Male,21-25 years,Ratio,29.3,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2013/2014,Male,21-25 years,Mean,0.41,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2015/2016,Male,21-25 years,Mean,0.38,Average reconvictions per offender
S12000041,Angus,Local Authority,2016/2017,Male,Under 21 years,Mean,0.33,Average reconvictions per offender
S12000041,Angus,Local Authority,2014/2015,Male,Under 21 years,Mean,0.66,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Male,31-40 years,Ratio,26.2,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Male,31-40 years,Mean,0.57,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2014/2015,Male,Over 40 years,Ratio,22.4,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2013/2014,Male,All,Ratio,27.5,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2014/2015,Male,21-25 years,Mean,0.4,Average reconvictions per offender
S12000041,Angus,Local Authority,2016/2017,Male,Under 21 years,Ratio,19.4,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Male,31-40 years,Ratio,33.6,Percent reconvicted
S12000041,Angus,Local Authority,2012/2013,Male,26-30 years,Mean,0.57,Average reconvictions per offender
S12000041,Angus,Local Authority,2016/2017,Male,26-30 years,Ratio,30.3,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2014/2015,Male,Under 21 years,Mean,0.74,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2013/2014,Male,All,Mean,0.44,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2014/2015,Male,All,Mean,0.51,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2015/2016,Male,21-25 years,Ratio,26.2,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2012/2013,Male,21-25 years,Mean,0.49,Average reconvictions per offender
S12000041,Angus,Local Authority,2014/2015,Male,26-30 years,Ratio,34.3,Percent reconvicted
S12000011,East Renfrewshire,Local Authority,2013/2014,Male,Under 21 years,Mean,0.64,Average reconvictions per offender
S12000011,East Renfrewshire,Local Authority,2014/2015,Male,Over 40 years,Mean,0.33,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,31-40 years,Ratio,32.6,Percent reconvicted
S12000014,Falkirk,Local Authority,2013/2014,Male,31-40 years,Ratio,32.2,Percent reconvicted
S12000014,Falkirk,Local Authority,2014/2015,Male,21-25 years,Ratio,29.1,Percent reconvicted
S12000014,Falkirk,Local Authority,2014/2015,Male,Under 21 years,Mean,0.6,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,Over 40 years,Mean,0.36,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2013/2014,Male,Over 40 years,Mean,0.36,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,26-30 years,Mean,0.56,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2016/2017,Male,26-30 years,Mean,0.52,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,26-30 years,Mean,0.75,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2014/2015,Male,26-30 years,Mean,0.61,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,26-30 years,Mean,0.67,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,31-40 years,Mean,0.59,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,26-30 years,Ratio,31.1,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,All,Mean,0.58,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2014/2015,Male,Over 40 years,Ratio,18.2,Percent reconvicted
S12000014,Falkirk,Local Authority,2015/2016,Male,All,Mean,0.49,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,21-25 years,Ratio,25.1,Percent reconvicted
S12000014,Falkirk,Local Authority,2016/2017,Male,31-40 years,Mean,0.56,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2016/2017,Male,Under 21 years,Mean,0.77,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2015/2016,Male,26-30 years,Ratio,39.5,Percent reconvicted
S12000014,Falkirk,Local Authority,2017/2018,Male,All,Ratio,31.4,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,26-30 years,Mean,0.46,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,31-40 years,Mean,0.64,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,Under 21 years,Ratio,40,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,31-40 years,Mean,0.62,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,21-25 years,Mean,0.07,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,All,Ratio,18.6,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,26-30 years,Mean,0.63,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,26-30 years,Ratio,20,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,31-40 years,Mean,0.6,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,26-30 years,Ratio,33,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,All,Mean,0.25,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,31-40 years,Mean,0.72,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,26-30 years,Mean,0.62,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,26-30 years,Ratio,29.6,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,Under 21 years,Mean,1.29,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2014/2015,Male,All,Ratio,26.5,Percent reconvicted
S12000014,Falkirk,Local Authority,2016/2017,Male,26-30 years,Ratio,31.3,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,All,Mean,0.64,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,Under 21 years,Mean,0.36,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,All,Mean,0.34,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,26-30 years,Ratio,33.9,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,31-40 years,Ratio,16.7,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,All,Ratio,16.3,Percent reconvicted
S12000014,Falkirk,Local Authority,2017/2018,Male,31-40 years,Mean,0.56,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,Over 40 years,Mean,0.53,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,Under 21 years,Mean,0.71,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,21-25 years,Ratio,36.5,Percent reconvicted
S12000014,Falkirk,Local Authority,2015/2016,Male,21-25 years,Mean,0.5,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,Under 21 years,Mean,0.68,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,21-25 years,Mean,0.47,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2014/2015,Male,31-40 years,Mean,0.44,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2013/2014,Male,All,Ratio,30,Percent reconvicted
S12000014,Falkirk,Local Authority,2012/2013,Male,Over 40 years,Ratio,18.9,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,21-25 years,Mean,0.55,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,Under 21 years,Ratio,34.8,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,Under 21 years,Mean,0.76,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,Under 21 years,Ratio,37.5,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,Under 21 years,Mean,0.75,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,All,Ratio,31.5,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,Under 21 years,Ratio,36.1,Percent reconvicted
S12000014,Falkirk,Local Authority,2013/2014,Male,Under 21 years,Ratio,35.1,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,Over 40 years,Mean,0.34,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2016/2017,Male,31-40 years,Ratio,29.4,Percent reconvicted
S12000014,Falkirk,Local Authority,2014/2015,Male,26-30 years,Ratio,30,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,Under 21 years,Mean,0.54,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,21-25 years,Mean,0.45,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,26-30 years,Mean,0.66,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,31-40 years,Ratio,30.9,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,21-25 years,Mean,0.41,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,All,Ratio,30.8,Percent reconvicted
S12000014,Falkirk,Local Authority,2012/2013,Male,31-40 years,Mean,0.56,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2015/2016,Male,Under 21 years,Mean,0.61,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2015/2016,Male,21-25 years,Ratio,28.6,Percent reconvicted
S12000014,Falkirk,Local Authority,2016/2017,Male,21-25 years,Mean,0.47,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2013/2014,Male,Over 40 years,Ratio,18.5,Percent reconvicted
S12000014,Falkirk,Local Authority,2014/2015,Male,All,Mean,0.48,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,31-40 years,Mean,0.66,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2014/2015,Male,21-25 years,Mean,0.52,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,26-30 years,Ratio,34.1,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,21-25 years,Mean,0.54,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,21-25 years,Mean,0.51,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,31-40 years,Ratio,30.9,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,21-25 years,Ratio,30.6,Percent reconvicted
S12000014,Falkirk,Local Authority,2015/2016,Male,31-40 years,Ratio,30.8,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,31-40 years,Ratio,31.3,Percent reconvicted
S12000014,Falkirk,Local Authority,2014/2015,Male,31-40 years,Ratio,27.1,Percent reconvicted
S12000014,Falkirk,Local Authority,2013/2014,Male,26-30 years,Ratio,38.9,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Male,Under 21 years,Ratio,39.2,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,All,Ratio,27.2,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,31-40 years,Ratio,28.6,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,21-25 years,Mean,0.3,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,Over 40 years,Ratio,22.1,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,Under 21 years,Mean,0.82,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,31-40 years,Ratio,18.8,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Male,26-30 years,Ratio,27.9,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Male,Under 21 years,Mean,0.74,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2015/2016,Male,Over 40 years,Mean,0.33,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,26-30 years,Ratio,14.3,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,All,Ratio,28,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,21-25 years,Ratio,31.4,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,Over 40 years,Mean,0.07,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,Over 40 years,Ratio,10.3,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,21-25 years,Ratio,19,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,31-40 years,Mean,0.16,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,31-40 years,Ratio,10.5,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,Over 40 years,Ratio,10.3,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,31-40 years,Ratio,30.3,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,Over 40 years,Ratio,14.8,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,All,Mean,0.5,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Male,31-40 years,Mean,0.46,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,31-40 years,Ratio,20,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Male,26-30 years,Ratio,31.6,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,Over 40 years,Mean,0.32,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2017/2018,Male,Over 40 years,Mean,0.31,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Male,Over 40 years,Ratio,17.4,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Male,All,Mean,0.51,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,Under 21 years,Mean,0.23,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,26-30 years,Ratio,30.8,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Male,26-30 years,Mean,0.54,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Male,Under 21 years,Mean,0.64,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Male,Under 21 years,Ratio,39.8,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,Over 40 years,Mean,0.1,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2012/2013,Male,26-30 years,Ratio,31.1,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2013/2014,Male,26-30 years,Mean,0.46,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,Under 21 years,Ratio,57.1,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Male,26-30 years,Mean,0.48,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2017/2018,Male,31-40 years,Mean,0.45,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,26-30 years,Ratio,36.4,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Male,Over 40 years,Ratio,22.4,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,21-25 years,Ratio,37.5,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Male,31-40 years,Mean,0.6,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,21-25 years,Ratio,18.5,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,31-40 years,Ratio,22.7,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,Under 21 years,Mean,0.8,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,All,Mean,0.58,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,26-30 years,Mean,0.29,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,26-30 years,Mean,0.45,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,21-25 years,Mean,0.24,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,Under 21 years,Ratio,47.1,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,31-40 years,Mean,0.17,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,Over 40 years,Mean,0.37,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,26-30 years,Mean,0.56,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,Over 40 years,Ratio,21.4,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,21-25 years,Ratio,7.1,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,31-40 years,Mean,0.27,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,26-30 years,Ratio,28.1,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,All,Ratio,25,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,Over 40 years,Mean,0.23,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,Over 40 years,Ratio,11.4,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,Over 40 years,Mean,0.14,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,26-30 years,Ratio,25,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,All,Mean,0.41,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,All,Ratio,18.8,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,All,Mean,0.23,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,All,Ratio,27.8,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,31-40 years,Mean,0.29,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,Under 21 years,Ratio,50,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,All,Mean,0.48,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2013/2014,Male,Under 21 years,Ratio,23.1,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,All,Ratio,17.7,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2016/2017,Male,Under 21 years,Ratio,18.2,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,21-25 years,Ratio,29.4,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,21-25 years,Ratio,27.8,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,26-30 years,Mean,0.13,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2015/2016,Male,All,Mean,0.23,Average reconvictions per offender
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,31-40 years,Mean,0.33,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,21-25 years,Ratio,28.2,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,31-40 years,Ratio,30.7,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,All,Mean,0.27,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,31-40 years,Ratio,31.7,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2017/2018,Male,26-30 years,Ratio,6.3,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2012/2013,Male,26-30 years,Mean,0.54,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,All,Ratio,29.6,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,All,Ratio,30.3,Percent reconvicted
S12000013,Na h-Eileanan Siar,Local Authority,2014/2015,Male,21-25 years,Mean,0.27,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2016/2017,Male,21-25 years,Mean,0.46,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2012/2013,Male,26-30 years,Mean,0.52,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2012/2013,Male,All,Mean,0.47,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2012/2013,Male,Under 21 years,Mean,0.4,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2012/2013,Male,21-25 years,Ratio,21.4,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2017/2018,Male,Over 40 years,Ratio,22.7,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2016/2017,Male,Over 40 years,Ratio,20.7,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2015/2016,Male,All,Mean,0.55,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2014/2015,Male,26-30 years,Mean,0.65,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2014/2015,Male,Under 21 years,Mean,0.76,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2013/2014,Male,26-30 years,Mean,0.6,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2015/2016,Male,26-30 years,Ratio,6.3,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2013/2014,Male,26-30 years,Ratio,25,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2015/2016,Male,All,Ratio,14.3,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2017/2018,Male,21-25 years,Mean,0.31,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2014/2015,Male,All,Ratio,17.4,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2012/2013,Male,26-30 years,Ratio,16.7,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2015/2016,Male,31-40 years,Ratio,15.4,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2013/2014,Male,21-25 years,Ratio,31.6,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2012/2013,Male,Under 21 years,Mean,0.61,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2014/2015,Male,31-40 years,Ratio,33.3,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2016/2017,Male,All,Mean,0.32,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2013/2014,Male,26-30 years,Ratio,34.6,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2014/2015,Male,Under 21 years,Ratio,45.1,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2016/2017,Male,26-30 years,Mean,0.48,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2016/2017,Male,31-40 years,Mean,0.31,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2016/2017,Male,26-30 years,Ratio,16.7,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2012/2013,Male,26-30 years,Ratio,32.9,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2015/2016,Male,26-30 years,Mean,0.06,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2015/2016,Male,26-30 years,Ratio,32.7,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2012/2013,Male,Over 40 years,Ratio,5.6,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2013/2014,Male,Under 21 years,Mean,0.08,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2016/2017,Male,Under 21 years,Mean,0.25,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2016/2017,Male,Under 21 years,Ratio,32.4,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2017/2018,Male,26-30 years,Mean,0.29,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2014/2015,Male,Under 21 years,Ratio,50,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2015/2016,Male,26-30 years,Mean,0.55,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2016/2017,Male,Under 21 years,Mean,0.56,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2017/2018,Male,26-30 years,Ratio,29.8,Percent reconvicted
S12000028,South Ayrshire,Local Authority,2017/2018,Male,26-30 years,Mean,0.53,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2016/2017,Male,26-30 years,Ratio,30.2,Percent reconvicted
S12000023,Orkney Islands,Local Authority,2016/2017,Male,26-30 years,Mean,0.17,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2012/2013,Male,26-30 years,Mean,0.5,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2013/2014,Male,31-40 years,Mean,0.1,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2015/2016,Male,Over 40 years,Mean,0.26,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2012/2013,Male,21-25 years,Mean,0.25,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2013/2014,Male,21-25 years,Mean,0.49,Average reconvictions per offender
S12000028,South Ayrshire,Local Authority,2012/2013,Male,21-25 years,Mean,0.47,Average reconvictions per offender
S12000023,Orkney Islands,Local Authority,2017/2018,Male,31-40 years,Ratio,10,Percent reconvicted
