FeatureCode,DateCode,Measurement,Units,Value,Gender,Age
S12000027,2013/2014,Ratio,Percent reconvicted,18.2,Male,Over 40 years
S12000023,2014/2015,Mean,Average reconvictions per offender,0.1,Male,26-30 years
S12000028,2013/2014,Mean,Average reconvictions per offender,0.6,Male,31-40 years
S12000023,2015/2016,Ratio,Percent reconvicted,25,Male,Under 21 years
S12000023,2013/2014,Ratio,Percent reconvicted,16.7,Male,21-25 years
S12000023,2012/2013,Ratio,Percent reconvicted,18.4,Male,All
S12000023,2017/2018,Mean,Average reconvictions per offender,0.32,Male,Over 40 years
S12000023,2013/2014,Ratio,Percent reconvicted,7.7,Male,Over 40 years
S12000028,2016/2017,Mean,Average reconvictions per offender,0.69,Male,31-40 years
S12000023,2014/2015,Mean,Average reconvictions per offender,0.67,Male,Under 21 years
S12000023,2013/2014,Mean,Average reconvictions per offender,0.33,Male,26-30 years
S12000028,2014/2015,Ratio,Percent reconvicted,32.1,Male,All
S12000023,2017/2018,Mean,Average reconvictions per offender,0.6,Male,Under 21 years
S12000023,2017/2018,Mean,Average reconvictions per offender,0.1,Male,31-40 years
S12000023,2012/2013,Mean,Average reconvictions per offender,0.37,Male,31-40 years
S12000023,2017/2018,Ratio,Percent reconvicted,40,Male,Under 21 years
S12000027,2012/2013,Ratio,Percent reconvicted,16.1,Male,All
S12000023,2012/2013,Mean,Average reconvictions per offender,0.11,Male,Over 40 years
S12000028,2012/2013,Mean,Average reconvictions per offender,0.49,Male,31-40 years
S12000023,2017/2018,Ratio,Percent reconvicted,28.6,Male,26-30 years
S12000028,2017/2018,Ratio,Percent reconvicted,22.3,Male,Over 40 years
S12000028,2016/2017,Mean,Average reconvictions per offender,0.5,Male,21-25 years
S12000023,2015/2016,Mean,Average reconvictions per offender,0.23,Male,31-40 years
S12000027,2016/2017,Ratio,Percent reconvicted,58.3,Male,Under 21 years
S12000026,2012/2013,Mean,Average reconvictions per offender,0.73,Male,Under 21 years
S12000026,2016/2017,Ratio,Percent reconvicted,24.1,Male,All
S12000026,2013/2014,Ratio,Percent reconvicted,32.7,Male,31-40 years
S12000026,2016/2017,Mean,Average reconvictions per offender,0.14,Male,Over 40 years
S12000027,2013/2014,Mean,Average reconvictions per offender,0.29,Male,26-30 years
S12000026,2014/2015,Mean,Average reconvictions per offender,0.29,Male,Over 40 years
S12000027,2014/2015,Ratio,Percent reconvicted,20,Male,21-25 years
S12000027,2012/2013,Ratio,Percent reconvicted,28.6,Male,21-25 years
S12000026,2015/2016,Mean,Average reconvictions per offender,0.28,Male,Over 40 years
S12000027,2016/2017,Mean,Average reconvictions per offender,0.14,Male,Over 40 years
S12000027,2014/2015,Mean,Average reconvictions per offender,0.35,Male,All
S12000027,2013/2014,Mean,Average reconvictions per offender,0.11,Male,31-40 years
S12000027,2014/2015,Ratio,Percent reconvicted,18.6,Male,All
S12000026,2014/2015,Mean,Average reconvictions per offender,0.85,Male,Under 21 years
S12000026,2015/2016,Ratio,Percent reconvicted,25.6,Male,31-40 years
S12000027,2016/2017,Mean,Average reconvictions per offender,0.58,Male,Under 21 years
S12000026,2016/2017,Ratio,Percent reconvicted,9.9,Male,Over 40 years
S12000026,2014/2015,Ratio,Percent reconvicted,22.1,Male,31-40 years
S12000027,2016/2017,Mean,Average reconvictions per offender,0.36,Male,31-40 years
S12000026,2017/2018,Ratio,Percent reconvicted,16.7,Male,Over 40 years
S12000027,2017/2018,Mean,Average reconvictions per offender,0.18,Male,26-30 years
S12000026,2012/2013,Mean,Average reconvictions per offender,0.29,Male,Over 40 years
S12000026,2017/2018,Ratio,Percent reconvicted,24.5,Male,31-40 years
S12000026,2016/2017,Mean,Average reconvictions per offender,0.44,Male,26-30 years
S12000027,2017/2018,Mean,Average reconvictions per offender,0.38,Male,31-40 years
S12000026,2016/2017,Ratio,Percent reconvicted,29,Male,31-40 years
S12000027,2014/2015,Mean,Average reconvictions per offender,0.3,Male,31-40 years
S12000027,2017/2018,Ratio,Percent reconvicted,20,Male,Under 21 years
S12000026,2017/2018,Mean,Average reconvictions per offender,0.22,Male,Over 40 years
S12000026,2015/2016,Ratio,Percent reconvicted,17,Male,Over 40 years
S12000027,2012/2013,Mean,Average reconvictions per offender,0.29,Male,21-25 years
S12000027,2012/2013,Ratio,Percent reconvicted,27.3,Male,Under 21 years
S12000026,2015/2016,Mean,Average reconvictions per offender,0.44,Male,All
S12000027,2016/2017,Ratio,Percent reconvicted,27.6,Male,All
S12000027,2015/2016,Mean,Average reconvictions per offender,0.22,Male,Over 40 years
S12000026,2014/2015,Ratio,Percent reconvicted,16.1,Male,Over 40 years
S12000026,2014/2015,Mean,Average reconvictions per offender,0.38,Male,31-40 years
S12000026,2016/2017,Mean,Average reconvictions per offender,0.81,Male,Under 21 years
S12000026,2017/2018,Mean,Average reconvictions per offender,0.39,Male,All
S12000026,2012/2013,Ratio,Percent reconvicted,32.2,Male,31-40 years
S12000027,2014/2015,Mean,Average reconvictions per offender,0.16,Male,26-30 years
S12000026,2012/2013,Mean,Average reconvictions per offender,0.59,Male,31-40 years
S12000027,2014/2015,Mean,Average reconvictions per offender,0.24,Male,21-25 years
S12000019,2015/2016,Ratio,Percent reconvicted,28.1,Male,26-30 years
S12000030,2015/2016,Mean,Average reconvictions per offender,0.66,Male,31-40 years
S12000019,2015/2016,Mean,Average reconvictions per offender,0.5,Male,All
S12000030,2017/2018,Mean,Average reconvictions per offender,0.25,Male,Over 40 years
S12000019,2013/2014,Ratio,Percent reconvicted,32.6,Male,31-40 years
S12000030,2016/2017,Ratio,Percent reconvicted,18.2,Male,Over 40 years
S12000019,2013/2014,Mean,Average reconvictions per offender,0.72,Male,31-40 years
S12000030,2016/2017,Mean,Average reconvictions per offender,0.21,Male,Over 40 years
S12000019,2012/2013,Mean,Average reconvictions per offender,0.66,Male,31-40 years
S12000019,2015/2016,Mean,Average reconvictions per offender,0.76,Male,Under 21 years
S12000019,2017/2018,Mean,Average reconvictions per offender,0.48,Male,All
S12000019,2014/2015,Mean,Average reconvictions per offender,0.64,Male,31-40 years
S12000030,2015/2016,Mean,Average reconvictions per offender,0.51,Male,21-25 years
S12000019,2012/2013,Mean,Average reconvictions per offender,0.59,Male,Under 21 years
S12000019,2012/2013,Mean,Average reconvictions per offender,0.45,Male,Over 40 years
S12000030,2014/2015,Ratio,Percent reconvicted,29.7,Male,All
S12000030,2017/2018,Mean,Average reconvictions per offender,0.51,Male,21-25 years
S12000019,2016/2017,Mean,Average reconvictions per offender,0.68,Male,Under 21 years
S12000019,2016/2017,Ratio,Percent reconvicted,31.3,Male,31-40 years
S12000030,2017/2018,Mean,Average reconvictions per offender,0.46,Male,All
S12000030,2017/2018,Ratio,Percent reconvicted,25,Male,21-25 years
S12000019,2012/2013,Mean,Average reconvictions per offender,0.58,Male,All
S12000019,2012/2013,Mean,Average reconvictions per offender,0.67,Male,26-30 years
S12000019,2012/2013,Ratio,Percent reconvicted,21.2,Male,Over 40 years
S12000019,2017/2018,Ratio,Percent reconvicted,20.1,Male,Over 40 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.73,Male,31-40 years
S12000019,2013/2014,Mean,Average reconvictions per offender,0.64,Male,All
S12000033,2014/2015,Mean,Average reconvictions per offender,0.61,Male,Under 21 years
S12000019,2016/2017,Ratio,Percent reconvicted,29.6,Male,26-30 years
S12000019,2014/2015,Mean,Average reconvictions per offender,0.44,Male,Over 40 years
S12000019,2017/2018,Mean,Average reconvictions per offender,0.41,Male,21-25 years
S12000033,2017/2018,Ratio,Percent reconvicted,34.1,Male,26-30 years
S12000019,2013/2014,Ratio,Percent reconvicted,29.4,Male,21-25 years
S12000019,2015/2016,Mean,Average reconvictions per offender,0.37,Male,Over 40 years
S12000030,2016/2017,Ratio,Percent reconvicted,25,Male,All
S12000019,2015/2016,Ratio,Percent reconvicted,37.5,Male,Under 21 years
S12000019,2016/2017,Mean,Average reconvictions per offender,0.34,Male,Over 40 years
S12000019,2016/2017,Mean,Average reconvictions per offender,0.47,Male,21-25 years
S12000030,2015/2016,Ratio,Percent reconvicted,29.3,Male,31-40 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.42,Male,Over 40 years
S12000033,2017/2018,Ratio,Percent reconvicted,30.8,Male,21-25 years
S12000033,2014/2015,Mean,Average reconvictions per offender,0.5,Male,All
S12000019,2015/2016,Mean,Average reconvictions per offender,0.59,Male,31-40 years
S12000019,2014/2015,Mean,Average reconvictions per offender,0.75,Male,Under 21 years
S12000030,2013/2014,Ratio,Percent reconvicted,32.9,Male,Under 21 years
S12000030,2017/2018,Mean,Average reconvictions per offender,0.61,Male,Under 21 years
S12000030,2012/2013,Ratio,Percent reconvicted,33.1,Male,21-25 years
S12000020,2014/2015,Ratio,Percent reconvicted,21,Male,Under 21 years
S12000020,2013/2014,Ratio,Percent reconvicted,28.8,Male,21-25 years
S12000030,2014/2015,Ratio,Percent reconvicted,43.1,Male,Under 21 years
S12000020,2014/2015,Ratio,Percent reconvicted,20,Male,Over 40 years
S12000030,2016/2017,Ratio,Percent reconvicted,30,Male,Under 21 years
S12000020,2016/2017,Mean,Average reconvictions per offender,0.7,Male,Under 21 years
S12000030,2015/2016,Ratio,Percent reconvicted,27,Male,All
S12000030,2016/2017,Ratio,Percent reconvicted,21.1,Male,21-25 years
S12000030,2016/2017,Mean,Average reconvictions per offender,0.4,Male,21-25 years
S12000030,2017/2018,Mean,Average reconvictions per offender,0.58,Male,26-30 years
S12000030,2013/2014,Ratio,Percent reconvicted,29.2,Male,All
S12000030,2013/2014,Mean,Average reconvictions per offender,0.47,Male,All
S12000030,2014/2015,Mean,Average reconvictions per offender,0.5,Male,All
S12000030,2014/2015,Ratio,Percent reconvicted,25,Male,26-30 years
S12000030,2015/2016,Ratio,Percent reconvicted,33.3,Male,21-25 years
S12000020,2012/2013,Ratio,Percent reconvicted,11.4,Male,Over 40 years
S12000030,2013/2014,Ratio,Percent reconvicted,31.7,Male,21-25 years
S12000020,2017/2018,Mean,Average reconvictions per offender,0.68,Male,26-30 years
S12000020,2014/2015,Mean,Average reconvictions per offender,0.42,Male,All
S12000030,2014/2015,Mean,Average reconvictions per offender,0.55,Male,21-25 years
S12000030,2013/2014,Mean,Average reconvictions per offender,0.57,Male,21-25 years
S12000019,2016/2017,Mean,Average reconvictions per offender,0.51,Male,All
S12000030,2015/2016,Ratio,Percent reconvicted,37.5,Male,Under 21 years
S12000019,2012/2013,Ratio,Percent reconvicted,29.6,Male,All
S12000019,2012/2013,Ratio,Percent reconvicted,33,Male,26-30 years
S12000019,2016/2017,Ratio,Percent reconvicted,28.2,Male,21-25 years
S12000030,2012/2013,Mean,Average reconvictions per offender,0.58,Male,21-25 years
S12000019,2014/2015,Mean,Average reconvictions per offender,0.62,Male,26-30 years
S12000019,2013/2014,Mean,Average reconvictions per offender,0.75,Male,26-30 years
S12000019,2017/2018,Ratio,Percent reconvicted,31.1,Male,26-30 years
S12000020,2014/2015,Mean,Average reconvictions per offender,0.48,Male,26-30 years
S12000030,2012/2013,Ratio,Percent reconvicted,34.7,Male,All
S12000020,2017/2018,Ratio,Percent reconvicted,27.1,Male,Under 21 years
S12000020,2013/2014,Mean,Average reconvictions per offender,0.49,Male,26-30 years
S12000020,2013/2014,Mean,Average reconvictions per offender,0.58,Male,Under 21 years
S12000020,2016/2017,Ratio,Percent reconvicted,23.1,Male,31-40 years
S12000030,2015/2016,Mean,Average reconvictions per offender,0.51,Male,All
S12000019,2014/2015,Ratio,Percent reconvicted,33.9,Male,26-30 years
S12000030,2014/2015,Ratio,Percent reconvicted,36.6,Male,21-25 years
S12000020,2012/2013,Mean,Average reconvictions per offender,0.47,Male,Under 21 years
S12000030,2012/2013,Ratio,Percent reconvicted,41.7,Male,Under 21 years
S12000033,2015/2016,Ratio,Percent reconvicted,31.8,Male,21-25 years
S12000033,2012/2013,Mean,Average reconvictions per offender,0.54,Male,31-40 years
S12000033,2013/2014,Mean,Average reconvictions per offender,0.53,Male,26-30 years
S12000019,2015/2016,Ratio,Percent reconvicted,28,Male,All
S12000019,2014/2015,Ratio,Percent reconvicted,38.8,Male,Under 21 years
S12000033,2014/2015,Mean,Average reconvictions per offender,0.56,Male,31-40 years
S12000033,2016/2017,Ratio,Percent reconvicted,23.4,Male,Over 40 years
S12000033,2013/2014,Ratio,Percent reconvicted,28.7,Male,21-25 years
S12000033,2013/2014,Ratio,Percent reconvicted,30.8,Male,31-40 years
S12000033,2014/2015,Ratio,Percent reconvicted,33.1,Male,Under 21 years
S12000019,2013/2014,Ratio,Percent reconvicted,33.9,Male,Under 21 years
S12000033,2015/2016,Ratio,Percent reconvicted,31.3,Male,31-40 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.63,Male,All
S12000033,2016/2017,Mean,Average reconvictions per offender,0.44,Male,Over 40 years
S12000019,2017/2018,Ratio,Percent reconvicted,32.3,Male,Under 21 years
S12000019,2017/2018,Ratio,Percent reconvicted,25.1,Male,21-25 years
S12000019,2016/2017,Ratio,Percent reconvicted,27.8,Male,All
S12000033,2012/2013,Mean,Average reconvictions per offender,0.5,Male,21-25 years
S12000033,2012/2013,Mean,Average reconvictions per offender,0.51,Male,All
S12000019,2012/2013,Ratio,Percent reconvicted,30.7,Male,31-40 years
S12000019,2016/2017,Ratio,Percent reconvicted,20,Male,Over 40 years
S12000033,2017/2018,Ratio,Percent reconvicted,39.2,Male,Under 21 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.58,Male,21-25 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.68,Male,31-40 years
S12000018,2012/2013,Ratio,Percent reconvicted,33.8,Male,All
S12000033,2012/2013,Mean,Average reconvictions per offender,0.56,Male,26-30 years
S12000033,2013/2014,Ratio,Percent reconvicted,28.3,Male,All
S12000018,2012/2013,Mean,Average reconvictions per offender,0.49,Male,21-25 years
S12000018,2013/2014,Mean,Average reconvictions per offender,0.53,Male,All
S12000033,2012/2013,Ratio,Percent reconvicted,36.9,Male,Under 21 years
S12000033,2017/2018,Ratio,Percent reconvicted,33.1,Male,31-40 years
S12000018,2014/2015,Mean,Average reconvictions per offender,0.52,Male,21-25 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.42,Male,Over 40 years
S12000033,2014/2015,Ratio,Percent reconvicted,30.5,Male,21-25 years
S12000019,2012/2013,Ratio,Percent reconvicted,34.8,Male,Under 21 years
S12000019,2017/2018,Ratio,Percent reconvicted,30.9,Male,31-40 years
S12000019,2017/2018,Ratio,Percent reconvicted,27.2,Male,All
S12000019,2013/2014,Ratio,Percent reconvicted,34.1,Male,26-30 years
S12000019,2014/2015,Ratio,Percent reconvicted,30.8,Male,All
S12000018,2014/2015,Mean,Average reconvictions per offender,0.5,Male,26-30 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.66,Male,26-30 years
S12000018,2015/2016,Ratio,Percent reconvicted,23.8,Male,Over 40 years
S12000033,2012/2013,Mean,Average reconvictions per offender,0.62,Male,Under 21 years
S12000033,2014/2015,Ratio,Percent reconvicted,20.4,Male,Over 40 years
S12000019,2013/2014,Mean,Average reconvictions per offender,0.53,Male,Over 40 years
S12000019,2017/2018,Mean,Average reconvictions per offender,0.56,Male,26-30 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.59,Male,All
S12000019,2017/2018,Mean,Average reconvictions per offender,0.32,Male,Over 40 years
S12000019,2014/2015,Ratio,Percent reconvicted,24,Male,Over 40 years
S12000033,2014/2015,Mean,Average reconvictions per offender,0.46,Male,26-30 years
S12000033,2015/2016,Ratio,Percent reconvicted,29.5,Male,26-30 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.66,Male,Under 21 years
S12000019,2015/2016,Mean,Average reconvictions per offender,0.45,Male,21-25 years
S12000033,2013/2014,Mean,Average reconvictions per offender,0.52,Male,All
S12000033,2014/2015,Ratio,Percent reconvicted,27.5,Male,All
S12000033,2015/2016,Ratio,Percent reconvicted,28.9,Male,All
S12000019,2015/2016,Ratio,Percent reconvicted,22.1,Male,Over 40 years
S12000019,2016/2017,Ratio,Percent reconvicted,36.1,Male,Under 21 years
S12000019,2014/2015,Ratio,Percent reconvicted,31.7,Male,31-40 years
S12000033,2014/2015,Ratio,Percent reconvicted,26.8,Male,26-30 years
S12000019,2014/2015,Mean,Average reconvictions per offender,0.58,Male,All
S12000033,2017/2018,Mean,Average reconvictions per offender,0.63,Male,26-30 years
S12000019,2015/2016,Ratio,Percent reconvicted,30.3,Male,31-40 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.53,Male,21-25 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.52,Male,21-25 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.78,Male,Under 21 years
S12000019,2012/2013,Ratio,Percent reconvicted,30.6,Male,21-25 years
S12000019,2014/2015,Ratio,Percent reconvicted,31.4,Male,21-25 years
S12000033,2014/2015,Mean,Average reconvictions per offender,0.38,Male,Over 40 years
S12000019,2013/2014,Ratio,Percent reconvicted,23.8,Male,Over 40 years
S12000019,2015/2016,Mean,Average reconvictions per offender,0.46,Male,26-30 years
S12000033,2013/2014,Mean,Average reconvictions per offender,0.54,Male,21-25 years
S12000033,2014/2015,Ratio,Percent reconvicted,28.9,Male,31-40 years
S12000019,2015/2016,Ratio,Percent reconvicted,27.8,Male,21-25 years
S12000019,2013/2014,Ratio,Percent reconvicted,30.3,Male,All
S12000019,2013/2014,Mean,Average reconvictions per offender,0.71,Male,Under 21 years
S12000019,2016/2017,Mean,Average reconvictions per offender,0.56,Male,26-30 years
S12000019,2012/2013,Mean,Average reconvictions per offender,0.54,Male,21-25 years
S12000019,2017/2018,Mean,Average reconvictions per offender,0.54,Male,Under 21 years
S12000033,2017/2018,Ratio,Percent reconvicted,22.6,Male,Over 40 years
S12000019,2016/2017,Mean,Average reconvictions per offender,0.62,Male,31-40 years
S12000033,2014/2015,Mean,Average reconvictions per offender,0.55,Male,21-25 years
S12000019,2017/2018,Mean,Average reconvictions per offender,0.6,Male,31-40 years
S12000019,2014/2015,Mean,Average reconvictions per offender,0.55,Male,21-25 years
S12000019,2013/2014,Mean,Average reconvictions per offender,0.51,Male,21-25 years
S12000033,2012/2013,Ratio,Percent reconvicted,28.9,Male,26-30 years
S12000033,2013/2014,Ratio,Percent reconvicted,29,Male,26-30 years
S12000033,2016/2017,Ratio,Percent reconvicted,30.9,Male,All
S12000020,2017/2018,Mean,Average reconvictions per offender,0.41,Male,All
S12000021,2017/2018,Mean,Average reconvictions per offender,0.67,Male,31-40 years
S12000020,2013/2014,Ratio,Percent reconvicted,12.8,Male,Over 40 years
S12000029,2013/2014,Mean,Average reconvictions per offender,0.52,Male,All
S12000021,2012/2013,Mean,Average reconvictions per offender,0.61,Male,Under 21 years
S12000021,2015/2016,Mean,Average reconvictions per offender,0.55,Male,All
S12000020,2013/2014,Ratio,Percent reconvicted,29.8,Male,26-30 years
S12000020,2014/2015,Ratio,Percent reconvicted,32.9,Male,26-30 years
S12000029,2014/2015,Ratio,Percent reconvicted,28.8,Male,26-30 years
S12000020,2016/2017,Ratio,Percent reconvicted,30.4,Male,Under 21 years
S12000029,2012/2013,Ratio,Percent reconvicted,21.8,Male,Over 40 years
S12000029,2017/2018,Ratio,Percent reconvicted,31.2,Male,26-30 years
S12000029,2014/2015,Mean,Average reconvictions per offender,0.47,Male,26-30 years
S12000021,2013/2014,Ratio,Percent reconvicted,30.6,Male,All
S12000029,2016/2017,Mean,Average reconvictions per offender,0.45,Male,31-40 years
S12000029,2015/2016,Mean,Average reconvictions per offender,0.5,Male,26-30 years
S12000021,2017/2018,Ratio,Percent reconvicted,22.3,Male,Over 40 years
S12000021,2014/2015,Ratio,Percent reconvicted,24,Male,Over 40 years
S12000029,2017/2018,Mean,Average reconvictions per offender,0.5,Male,26-30 years
S12000029,2017/2018,Ratio,Percent reconvicted,29.9,Male,31-40 years
S12000021,2014/2015,Mean,Average reconvictions per offender,0.65,Male,26-30 years
S12000021,2016/2017,Ratio,Percent reconvicted,22.6,Male,Over 40 years
S12000029,2015/2016,Mean,Average reconvictions per offender,0.35,Male,Over 40 years
S12000029,2014/2015,Mean,Average reconvictions per offender,0.59,Male,21-25 years
S12000020,2013/2014,Ratio,Percent reconvicted,35.4,Male,Under 21 years
S12000029,2012/2013,Ratio,Percent reconvicted,37.9,Male,Under 21 years
S12000020,2015/2016,Mean,Average reconvictions per offender,0.62,Male,Under 21 years
S12000029,2017/2018,Ratio,Percent reconvicted,32.8,Male,21-25 years
S12000029,2016/2017,Mean,Average reconvictions per offender,0.37,Male,Over 40 years
S12000020,2016/2017,Ratio,Percent reconvicted,25.6,Male,26-30 years
S12000020,2017/2018,Ratio,Percent reconvicted,27,Male,21-25 years
S12000020,2017/2018,Ratio,Percent reconvicted,25.4,Male,All
S12000029,2016/2017,Ratio,Percent reconvicted,29.4,Male,All
S12000029,2013/2014,Mean,Average reconvictions per offender,0.54,Male,21-25 years
S12000020,2017/2018,Mean,Average reconvictions per offender,0.47,Male,Under 21 years
S12000029,2015/2016,Ratio,Percent reconvicted,30.8,Male,31-40 years
S12000020,2015/2016,Ratio,Percent reconvicted,27.1,Male,26-30 years
S12000029,2014/2015,Mean,Average reconvictions per offender,0.75,Male,Under 21 years
S12000029,2012/2013,Mean,Average reconvictions per offender,0.6,Male,21-25 years
S12000020,2014/2015,Mean,Average reconvictions per offender,0.32,Male,Over 40 years
S12000020,2015/2016,Mean,Average reconvictions per offender,0.42,Male,All
S12000020,2017/2018,Mean,Average reconvictions per offender,0.34,Male,31-40 years
S12000029,2014/2015,Ratio,Percent reconvicted,31.3,Male,31-40 years
S12000029,2017/2018,Ratio,Percent reconvicted,18.1,Male,Over 40 years
S12000021,2012/2013,Ratio,Percent reconvicted,20.4,Male,Over 40 years
S12000021,2015/2016,Ratio,Percent reconvicted,32.7,Male,26-30 years
S12000021,2012/2013,Ratio,Percent reconvicted,37,Male,Under 21 years
S12000021,2013/2014,Ratio,Percent reconvicted,31.6,Male,21-25 years
S12000021,2017/2018,Mean,Average reconvictions per offender,0.37,Male,21-25 years
S12000029,2012/2013,Ratio,Percent reconvicted,29.6,Male,31-40 years
S12000021,2015/2016,Ratio,Percent reconvicted,35.5,Male,21-25 years
S12000029,2012/2013,Mean,Average reconvictions per offender,0.54,Male,All
S12000021,2014/2015,Ratio,Percent reconvicted,32.3,Male,21-25 years
S12000021,2012/2013,Ratio,Percent reconvicted,29.6,Male,All
S12000029,2014/2015,Mean,Average reconvictions per offender,0.35,Male,Over 40 years
S12000029,2014/2015,Mean,Average reconvictions per offender,0.58,Male,31-40 years
S12000029,2012/2013,Ratio,Percent reconvicted,30.8,Male,All
S12000021,2017/2018,Mean,Average reconvictions per offender,0.59,Male,Under 21 years
S12000029,2014/2015,Mean,Average reconvictions per offender,0.54,Male,All
S12000021,2012/2013,Mean,Average reconvictions per offender,0.49,Male,31-40 years
S12000021,2015/2016,Ratio,Percent reconvicted,36.6,Male,31-40 years
S12000021,2013/2014,Ratio,Percent reconvicted,34.6,Male,26-30 years
S12000029,2015/2016,Ratio,Percent reconvicted,32.2,Male,26-30 years
S12000021,2013/2014,Ratio,Percent reconvicted,21.2,Male,Over 40 years
S12000021,2014/2015,Mean,Average reconvictions per offender,0.42,Male,Over 40 years
S12000021,2014/2015,Ratio,Percent reconvicted,34.5,Male,26-30 years
S12000029,2013/2014,Mean,Average reconvictions per offender,0.74,Male,Under 21 years
S12000021,2017/2018,Mean,Average reconvictions per offender,0.53,Male,26-30 years
S12000029,2014/2015,Ratio,Percent reconvicted,20.9,Male,Over 40 years
S12000029,2012/2013,Mean,Average reconvictions per offender,0.54,Male,31-40 years
S12000021,2015/2016,Mean,Average reconvictions per offender,0.37,Male,Over 40 years
S12000029,2012/2013,Mean,Average reconvictions per offender,0.53,Male,26-30 years
S12000021,2013/2014,Mean,Average reconvictions per offender,0.6,Male,26-30 years
S12000021,2014/2015,Ratio,Percent reconvicted,33.3,Male,31-40 years
S12000029,2012/2013,Mean,Average reconvictions per offender,0.7,Male,Under 21 years
S12000029,2013/2014,Mean,Average reconvictions per offender,0.54,Male,31-40 years
S12000029,2016/2017,Ratio,Percent reconvicted,36.2,Male,26-30 years
S12000021,2017/2018,Mean,Average reconvictions per offender,0.46,Male,Over 40 years
S12000029,2015/2016,Ratio,Percent reconvicted,20.3,Male,Over 40 years
S12000029,2016/2017,Mean,Average reconvictions per offender,0.55,Male,26-30 years
S12000029,2016/2017,Ratio,Percent reconvicted,27,Male,31-40 years
S12000021,2012/2013,Ratio,Percent reconvicted,31.3,Male,21-25 years
S12000029,2016/2017,Mean,Average reconvictions per offender,0.51,Male,All
S12000029,2017/2018,Ratio,Percent reconvicted,27.8,Male,All
S12000029,2016/2017,Mean,Average reconvictions per offender,0.69,Male,Under 21 years
S12000029,2013/2014,Mean,Average reconvictions per offender,0.53,Male,26-30 years
S12000029,2017/2018,Mean,Average reconvictions per offender,0.55,Male,31-40 years
S12000021,2016/2017,Ratio,Percent reconvicted,32.4,Male,Under 21 years
S12000020,2014/2015,Mean,Average reconvictions per offender,0.45,Male,21-25 years
S12000030,2013/2014,Ratio,Percent reconvicted,33.3,Male,26-30 years
S12000020,2016/2017,Ratio,Percent reconvicted,23.3,Male,All
S12000030,2012/2013,Ratio,Percent reconvicted,42.9,Male,26-30 years
S12000030,2016/2017,Mean,Average reconvictions per offender,0.42,Male,All
S12000020,2013/2014,Ratio,Percent reconvicted,23.4,Male,31-40 years
S12000030,2012/2013,Mean,Average reconvictions per offender,0.87,Male,Under 21 years
S12000030,2015/2016,Ratio,Percent reconvicted,24.4,Male,26-30 years
S12000030,2013/2014,Mean,Average reconvictions per offender,0.44,Male,26-30 years
S12000030,2015/2016,Mean,Average reconvictions per offender,0.74,Male,Under 21 years
S12000020,2017/2018,Ratio,Percent reconvicted,20.9,Male,31-40 years
S12000020,2016/2017,Mean,Average reconvictions per offender,0.37,Male,All
S12000030,2014/2015,Mean,Average reconvictions per offender,0.48,Male,31-40 years
S12000020,2012/2013,Ratio,Percent reconvicted,26.2,Male,26-30 years
S12000030,2012/2013,Mean,Average reconvictions per offender,0.62,Male,31-40 years
S12000030,2013/2014,Mean,Average reconvictions per offender,0.29,Male,Over 40 years
S12000030,2014/2015,Ratio,Percent reconvicted,28.5,Male,31-40 years
S12000020,2017/2018,Ratio,Percent reconvicted,20.6,Male,Over 40 years
S12000020,2016/2017,Mean,Average reconvictions per offender,0.31,Male,31-40 years
S12000020,2012/2013,Mean,Average reconvictions per offender,0.59,Male,31-40 years
S12000030,2012/2013,Ratio,Percent reconvicted,27.7,Male,Over 40 years
S12000030,2012/2013,Mean,Average reconvictions per offender,0.63,Male,All
S12000020,2017/2018,Ratio,Percent reconvicted,37.5,Male,26-30 years
S12000030,2016/2017,Ratio,Percent reconvicted,23.4,Male,31-40 years
S12000020,2014/2015,Mean,Average reconvictions per offender,0.39,Male,Under 21 years
S12000020,2012/2013,Ratio,Percent reconvicted,25.1,Male,All
S12000030,2017/2018,Ratio,Percent reconvicted,24.8,Male,31-40 years
S12000020,2012/2013,Mean,Average reconvictions per offender,0.39,Male,All
S12000030,2014/2015,Mean,Average reconvictions per offender,0.41,Male,26-30 years
S12000030,2014/2015,Mean,Average reconvictions per offender,0.79,Male,Under 21 years
S12000030,2017/2018,Ratio,Percent reconvicted,31.5,Male,Under 21 years
S12000030,2016/2017,Mean,Average reconvictions per offender,0.54,Male,Under 21 years
S12000030,2017/2018,Ratio,Percent reconvicted,29.9,Male,26-30 years
S12000030,2012/2013,Mean,Average reconvictions per offender,0.69,Male,26-30 years
S12000020,2013/2014,Mean,Average reconvictions per offender,0.5,Male,21-25 years
