FeatureCode,DateCode,Measurement,Units,Value,Indicator (travel to work)
S12000010,2013,Ratio,Percent Of Journeys,20.9,% Shopping Journeys
S12000010,2018,Ratio,Percent Of Journeys,5,% Education Journeys
S12000010,2017,Ratio,Percent Of Journeys,25.9,% Commuting Journeys
S12000010,2012,Ratio,Percent Of Journeys,10,% Walking Journeys To Work
S12000010,2019,Ratio,Percent Of Journeys,9,% Walking Journeys To Work
S12000010,2009,Ratio,Percent Of Journeys,13.8,% Bus Journeys To Work
S12000010,2007,Ratio,Percent Of Journeys,12.7,% Bus Journeys To Work
S12000010,2012,Ratio,Percent Of Journeys,12.3,% Bus Journeys To Work
S12000010,2017,Ratio,Percent Of Journeys,78,% Child Journeys To School By Walking/Cycling
S12000010,2005,Ratio,Percent Of Journeys,8.2,% Bus Journeys To Work
S12000010,2009,Ratio,Percent Of Journeys,2.1,% Cycling Journeys To Work
S12000010,2012,Ratio,Percent Of Journeys,1.3,% Cycling Journeys To Work
S12000011,2013,Ratio,Percent Of Journeys,4.1,% Business Journeys
S12000011,2016,Ratio,Percent Of Journeys,2.5,% Business Journeys
S12000011,2016,Ratio,Percent Of Journeys,52.6,% Child Journeys To School By Walking/Cycling
S12000011,1999,Ratio,Percent Of Journeys,35.6,% Child Journeys To School By Walking/Cycling
S12000011,2003,Ratio,Percent Of Journeys,27.5,% Commuting Journeys
S12000011,2018,Ratio,Percent Of Journeys,2,% Business Journeys
S12000011,2018,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000011,2017,Ratio,Percent Of Journeys,10.7,% Train Journeys To Work
S12000011,2007,Ratio,Percent Of Journeys,18.3,% Commuting Journeys
S12000011,2009,Ratio,Percent Of Journeys,0.6,% Business Journeys
S12000011,2005,Ratio,Percent Of Journeys,3.8,% Walking Journeys To Work
S12000011,2007,Ratio,Percent Of Journeys,1.2,% Business Journeys
S12000011,2012,Ratio,Percent Of Journeys,3.6,% Business Journeys
S12000011,2014,Ratio,Percent Of Journeys,22.9,% Commuting Journeys
S12000011,2015,Ratio,Percent Of Journeys,21.4,% Commuting Journeys
S12000011,2009,Ratio,Percent Of Journeys,4.1,% Walking Journeys To Work
S12000011,1999,Ratio,Percent Of Journeys,6.1,% Walking Journeys To Work
S12000011,1999,Ratio,Percent Of Journeys,21.4,% Commuting Journeys
S12000011,2007,Ratio,Percent Of Journeys,0.5,% Walking Journeys To Work
S12000011,2013,Ratio,Percent Of Journeys,2.2,% Walking Journeys To Work
S12000011,2009,Ratio,Percent Of Journeys,26,% Commuting Journeys
S12000011,2019,Ratio,Percent Of Journeys,1,% Business Journeys
S12000011,2017,Ratio,Percent Of Journeys,5,% Walking Journeys To Work
S12000011,2016,Ratio,Percent Of Journeys,16.1,% Commuting Journeys
S12000011,2018,Ratio,Percent Of Journeys,26,% Shopping Journeys
S12000011,2017,Ratio,Percent Of Journeys,0,% Business Journeys
S12000011,2017,Ratio,Percent Of Journeys,44.5,% Child Journeys To School By Walking/Cycling
S12000011,2001,Ratio,Percent Of Journeys,25.9,% Commuting Journeys
S12000011,2014,Ratio,Percent Of Journeys,49.1,% Child Journeys To School By Walking/Cycling
S12000011,2013,Ratio,Percent Of Journeys,19.6,% Commuting Journeys
S12000011,2013,Ratio,Percent Of Journeys,4.8,% Education Journeys
S12000011,2003,Ratio,Percent Of Journeys,1.6,% Health Journeys
S12000011,2001,Ratio,Percent Of Journeys,2,% Health Journeys
S12000011,1999,Ratio,Percent Of Journeys,2.2,% Health Journeys
S12000011,2018,Ratio,Percent Of Journeys,3,% Walking Journeys To Work
S12000011,2012,Ratio,Percent Of Journeys,1.5,% Health Journeys
S12000011,2015,Ratio,Percent Of Journeys,55.1,% Child Journeys To School By Walking/Cycling
S12000011,2005,Ratio,Percent Of Journeys,2,% Health Journeys
S12000011,2007,Ratio,Percent Of Journeys,4.1,% Education Journeys
S12000011,2016,Ratio,Percent Of Journeys,10.4,% Education Journeys
S12000011,2016,Ratio,Percent Of Journeys,2.2,% Health Journeys
S12000011,2018,Ratio,Percent Of Journeys,12,% Bus Journeys To Work
S12000011,2012,Ratio,Percent Of Journeys,4.4,% Walking Journeys To Work
S12000011,2019,Ratio,Percent Of Journeys,1,% Health Journeys
S12000011,2019,Ratio,Percent Of Journeys,82,% Child Journeys To School By Walking/Cycling
S12000011,2015,Ratio,Percent Of Journeys,2,% Health Journeys
S12000011,2005,Ratio,Percent Of Journeys,19,% Commuting Journeys
S12000011,2001,Ratio,Percent Of Journeys,4.4,% Walking Journeys To Work
S12000011,2019,Ratio,Percent Of Journeys,5,% Walking Journeys To Work
S12000011,2015,Ratio,Percent Of Journeys,8.6,% Education Journeys
S12000011,2017,Ratio,Percent Of Journeys,2.4,% Health Journeys
S12000011,2013,Ratio,Percent Of Journeys,1.9,% Health Journeys
S12000011,2003,Ratio,Percent Of Journeys,3.6,% Business Journeys
S12000011,2001,Ratio,Percent Of Journeys,37.4,% Child Journeys To School By Walking/Cycling
S12000011,2005,Ratio,Percent Of Journeys,3,% Business Journeys
S12000011,2016,Ratio,Percent Of Journeys,2.6,% Walking Journeys To Work
S12000011,2007,Ratio,Percent Of Journeys,2.5,% Health Journeys
S12000011,2014,Ratio,Percent Of Journeys,2.3,% Health Journeys
S12000011,1999,Ratio,Percent Of Journeys,3.4,% Business Journeys
S12000011,2014,Ratio,Percent Of Journeys,1.6,% Business Journeys
S12000011,2015,Ratio,Percent Of Journeys,2.1,% Business Journeys
S12000011,2001,Ratio,Percent Of Journeys,2.7,% Business Journeys
S12000011,2003,Ratio,Percent Of Journeys,49.2,% Child Journeys To School By Walking/Cycling
S12000011,2015,Ratio,Percent Of Journeys,5.1,% Walking Journeys To Work
S12000011,2014,Ratio,Percent Of Journeys,4.8,% Education Journeys
S12000011,1999,Ratio,Percent Of Journeys,3.1,% Education Journeys
S12000011,2003,Ratio,Percent Of Journeys,4,% Education Journeys
S12000011,2003,Ratio,Percent Of Journeys,6.2,% Walking Journeys To Work
S12000011,2018,Ratio,Percent Of Journeys,59,% Child Journeys To School By Walking/Cycling
S12000011,2014,Ratio,Percent Of Journeys,10,% Walking Journeys To Work
S12000011,2005,Ratio,Percent Of Journeys,4,% Education Journeys
S12000011,2012,Ratio,Percent Of Journeys,6.4,% Education Journeys
S12000011,2009,Ratio,Percent Of Journeys,3.6,% Health Journeys
S12000011,2009,Ratio,Percent Of Journeys,4.5,% Education Journeys
S12000011,2012,Ratio,Percent Of Journeys,19.3,% Commuting Journeys
S12000011,2001,Ratio,Percent Of Journeys,5.1,% Education Journeys
S12000011,2009,Ratio,Percent Of Journeys,7.1,% Bus Journeys To Work
S12000011,2005,Ratio,Percent Of Journeys,44.2,% Child Journeys To School By Walking/Cycling
S12000011,2003,Ratio,Percent Of Journeys,9.5,% Bus Journeys To Work
S12000011,2013,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000011,2014,Ratio,Percent Of Journeys,7.7,% Train Journeys To Work
S12000011,2012,Ratio,Percent Of Journeys,4.6,% Bus Journeys To Work
S12000011,2007,Ratio,Percent Of Journeys,7.2,% Train Journeys To Work
S12000011,2003,Ratio,Percent Of Journeys,0.5,% Cycling Journeys To Work
S12000011,2019,Ratio,Percent Of Journeys,7,% Bus Journeys To Work
S12000011,2015,Ratio,Percent Of Journeys,12.4,% Train Journeys To Work
S12000011,2009,Ratio,Percent Of Journeys,42.6,% Child Journeys To School By Walking/Cycling
S12000011,2013,Ratio,Percent Of Journeys,8.4,% Train Journeys To Work
S12000011,2017,Ratio,Percent Of Journeys,20.5,% Shopping Journeys
S12000011,2018,Ratio,Percent Of Journeys,10,% Train Journeys To Work
S12000011,2001,Ratio,Percent Of Journeys,0.9,% Cycling Journeys To Work
S12000011,2012,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000011,2016,Ratio,Percent Of Journeys,1,% Cycling Journeys To Work
S12000011,2015,Ratio,Percent Of Journeys,21.6,% Shopping Journeys
S12000011,2001,Ratio,Percent Of Journeys,4.5,% Train Journeys To Work
S12000011,2016,Ratio,Percent Of Journeys,26,% Shopping Journeys
S12000011,2014,Ratio,Percent Of Journeys,24.9,% Shopping Journeys
S12000011,2019,Ratio,Percent Of Journeys,13,% Train Journeys To Work
S12000011,1999,Ratio,Percent Of Journeys,7,% Train Journeys To Work
S12000011,2019,Ratio,Percent Of Journeys,4,% Education Journeys
S12000011,2007,Ratio,Percent Of Journeys,20.5,% Shopping Journeys
S12000011,2015,Ratio,Percent Of Journeys,6.2,% Bus Journeys To Work
S12000011,2007,Ratio,Percent Of Journeys,10.9,% Bus Journeys To Work
S12000011,2012,Ratio,Percent Of Journeys,45.8,% Child Journeys To School By Walking/Cycling
S12000011,2017,Ratio,Percent Of Journeys,1.5,% Bus Journeys To Work
S12000011,2019,Ratio,Percent Of Journeys,1,% Cycling Journeys To Work
S12000011,2013,Ratio,Percent Of Journeys,4.1,% Bus Journeys To Work
S12000011,2014,Ratio,Percent Of Journeys,7.3,% Bus Journeys To Work
S12000011,1999,Ratio,Percent Of Journeys,7.8,% Bus Journeys To Work
S12000011,2005,Ratio,Percent Of Journeys,8.4,% Train Journeys To Work
S12000011,2003,Ratio,Percent Of Journeys,5.5,% Train Journeys To Work
S12000011,2001,Ratio,Percent Of Journeys,19.8,% Shopping Journeys
S12000011,2017,Ratio,Percent Of Journeys,26.3,% Commuting Journeys
S12000011,2019,Ratio,Percent Of Journeys,24,% Commuting Journeys
S12000011,2007,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000011,2005,Ratio,Percent Of Journeys,2.4,% Cycling Journeys To Work
S12000011,2013,Ratio,Percent Of Journeys,18.9,% Shopping Journeys
S12000011,2009,Ratio,Percent Of Journeys,20.8,% Shopping Journeys
S12000011,2012,Ratio,Percent Of Journeys,21.7,% Shopping Journeys
S12000011,1999,Ratio,Percent Of Journeys,20.9,% Shopping Journeys
S12000011,2012,Ratio,Percent Of Journeys,19,% Train Journeys To Work
S12000011,2018,Ratio,Percent Of Journeys,8,% Education Journeys
S12000011,2001,Ratio,Percent Of Journeys,6.6,% Bus Journeys To Work
S12000011,2007,Ratio,Percent Of Journeys,46.6,% Child Journeys To School By Walking/Cycling
S12000011,2015,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000011,2017,Ratio,Percent Of Journeys,1.4,% Cycling Journeys To Work
S12000011,2014,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000011,2005,Ratio,Percent Of Journeys,12,% Shopping Journeys
S12000011,2013,Ratio,Percent Of Journeys,59,% Child Journeys To School By Walking/Cycling
S12000011,2018,Ratio,Percent Of Journeys,2,% Health Journeys
S12000011,2018,Ratio,Percent Of Journeys,22,% Commuting Journeys
S12000011,2016,Ratio,Percent Of Journeys,8.9,% Bus Journeys To Work
S12000011,2017,Ratio,Percent Of Journeys,11,% Education Journeys
S12000011,2005,Ratio,Percent Of Journeys,7.8,% Bus Journeys To Work
S12000011,1999,Ratio,Percent Of Journeys,1,% Cycling Journeys To Work
S12000011,2019,Ratio,Percent Of Journeys,21,% Shopping Journeys
S12000011,2003,Ratio,Percent Of Journeys,19.4,% Shopping Journeys
S12000011,2009,Ratio,Percent Of Journeys,9.8,% Train Journeys To Work
S12000011,2016,Ratio,Percent Of Journeys,6.9,% Train Journeys To Work
S12000011,2009,Ratio,Percent Of Journeys,1.5,% Cycling Journeys To Work
S12000013,2019,Ratio,Percent Of Journeys,13,% Shopping Journeys
S12000013,2001,Ratio,Percent Of Journeys,16.5,% Bus Journeys To Work
S12000013,2003,Ratio,Percent Of Journeys,2.9,% Education Journeys
S12000013,2005,Ratio,Percent Of Journeys,3,% Education Journeys
S12000013,2009,Ratio,Percent Of Journeys,25.5,% Commuting Journeys
S12000013,2017,Ratio,Percent Of Journeys,1.1,% Health Journeys
S12000013,1999,Ratio,Percent Of Journeys,14.2,% Bus Journeys To Work
S12000013,2009,Ratio,Percent Of Journeys,1.7,% Education Journeys
S12000013,2005,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2005,Ratio,Percent Of Journeys,28,% Commuting Journeys
S12000013,1999,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2007,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2018,Ratio,Percent Of Journeys,19,% Shopping Journeys
S12000013,2017,Ratio,Percent Of Journeys,15.8,% Child Journeys To School By Walking/Cycling
S12000013,2005,Ratio,Percent Of Journeys,18.1,% Bus Journeys To Work
S12000013,2017,Ratio,Percent Of Journeys,0.4,% Cycling Journeys To Work
S12000013,2012,Ratio,Percent Of Journeys,2,% Education Journeys
S12000013,2007,Ratio,Percent Of Journeys,7.2,% Bus Journeys To Work
S12000013,2003,Ratio,Percent Of Journeys,18.7,% Child Journeys To School By Walking/Cycling
S12000013,2012,Ratio,Percent Of Journeys,11.4,% Walking Journeys To Work
S12000013,2001,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2017,Ratio,Percent Of Journeys,28.9,% Commuting Journeys
S12000013,2016,Ratio,Percent Of Journeys,11.8,% Walking Journeys To Work
S12000013,2018,Ratio,Percent Of Journeys,15,% Walking Journeys To Work
S12000013,2009,Ratio,Percent Of Journeys,0.3,% Cycling Journeys To Work
S12000013,2015,Ratio,Percent Of Journeys,0.4,% Cycling Journeys To Work
S12000013,2018,Ratio,Percent Of Journeys,31,% Commuting Journeys
S12000013,2016,Ratio,Percent Of Journeys,0.4,% Cycling Journeys To Work
S12000013,2001,Ratio,Percent Of Journeys,3.1,% Education Journeys
S12000013,2007,Ratio,Percent Of Journeys,0.6,% Cycling Journeys To Work
S12000013,2013,Ratio,Percent Of Journeys,1.2,% Health Journeys
S12000013,2005,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000013,2016,Ratio,Percent Of Journeys,2.5,% Health Journeys
S12000013,1999,Ratio,Percent Of Journeys,15.4,% Walking Journeys To Work
S12000013,2012,Ratio,Percent Of Journeys,0.6,% Cycling Journeys To Work
S12000013,2018,Ratio,Percent Of Journeys,4,% Education Journeys
S12000013,2013,Ratio,Percent Of Journeys,9.5,% Walking Journeys To Work
S12000013,2019,Ratio,Percent Of Journeys,36,% Commuting Journeys
S12000013,2005,Ratio,Percent Of Journeys,20,% Child Journeys To School By Walking/Cycling
S12000013,2007,Ratio,Percent Of Journeys,19.4,% Shopping Journeys
S12000013,2001,Ratio,Percent Of Journeys,0.1,% Cycling Journeys To Work
S12000013,2018,Ratio,Percent Of Journeys,6,% Bus Journeys To Work
S12000013,1999,Ratio,Percent Of Journeys,17.9,% Child Journeys To School By Walking/Cycling
S12000013,2003,Ratio,Percent Of Journeys,2.9,% Cycling Journeys To Work
S12000013,2018,Ratio,Percent Of Journeys,2,% Health Journeys
S12000013,2001,Ratio,Percent Of Journeys,19.5,% Child Journeys To School By Walking/Cycling
S12000013,2016,Ratio,Percent Of Journeys,2.4,% Education Journeys
S12000013,2007,Ratio,Percent Of Journeys,2.2,% Education Journeys
S12000013,1999,Ratio,Percent Of Journeys,0.6,% Cycling Journeys To Work
S12000013,2013,Ratio,Percent Of Journeys,1.8,% Cycling Journeys To Work
S12000013,2012,Ratio,Percent Of Journeys,17.6,% Shopping Journeys
S12000013,2016,Ratio,Percent Of Journeys,7,% Bus Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,18.1,% Commuting Journeys
S12000013,2013,Ratio,Percent Of Journeys,7.2,% Bus Journeys To Work
S12000013,2003,Ratio,Percent Of Journeys,17,% Bus Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,2.8,% Health Journeys
S12000013,1999,Ratio,Percent Of Journeys,5.5,% Education Journeys
S12000013,2015,Ratio,Percent Of Journeys,2.9,% Health Journeys
S12000013,2013,Ratio,Percent Of Journeys,3.2,% Education Journeys
S12000013,2018,Ratio,Percent Of Journeys,1,% Cycling Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,1.2,% Cycling Journeys To Work
S12000013,2015,Ratio,Percent Of Journeys,6.7,% Walking Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,13.4,% Walking Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,6,% Education Journeys
S12000013,2017,Ratio,Percent Of Journeys,17,% Shopping Journeys
S12000013,2003,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,7.4,% Bus Journeys To Work
S12000013,2019,Ratio,Percent Of Journeys,7,% Bus Journeys To Work
S12000013,2015,Ratio,Percent Of Journeys,5.1,% Education Journeys
S12000013,2005,Ratio,Percent Of Journeys,21,% Shopping Journeys
S12000013,2009,Ratio,Percent Of Journeys,20.7,% Shopping Journeys
S12000013,2015,Ratio,Percent Of Journeys,7.4,% Bus Journeys To Work
S12000013,2019,Ratio,Percent Of Journeys,4,% Education Journeys
S12000013,1999,Ratio,Percent Of Journeys,21.7,% Shopping Journeys
S12000013,2017,Ratio,Percent Of Journeys,10.7,% Walking Journeys To Work
S12000013,2007,Ratio,Percent Of Journeys,16.3,% Walking Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,6.7,% Business Journeys
S12000013,2013,Ratio,Percent Of Journeys,19.2,% Commuting Journeys
S12000013,2012,Ratio,Percent Of Journeys,4.7,% Bus Journeys To Work
S12000013,2016,Ratio,Percent Of Journeys,17.6,% Shopping Journeys
S12000013,2007,Ratio,Percent Of Journeys,29.6,% Child Journeys To School By Walking/Cycling
S12000013,2015,Ratio,Percent Of Journeys,25.7,% Commuting Journeys
S12000013,2017,Ratio,Percent Of Journeys,3.2,% Business Journeys
S12000013,2019,Ratio,Percent Of Journeys,2,% Health Journeys
S12000013,2017,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2009,Ratio,Percent Of Journeys,22.7,% Child Journeys To School By Walking/Cycling
S12000013,2014,Ratio,Percent Of Journeys,17.6,% Child Journeys To School By Walking/Cycling
S12000013,2012,Ratio,Percent Of Journeys,18.7,% Child Journeys To School By Walking/Cycling
S12000013,2016,Ratio,Percent Of Journeys,4.8,% Business Journeys
S12000013,2012,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2019,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,16.9,% Shopping Journeys
S12000013,2017,Ratio,Percent Of Journeys,7.9,% Bus Journeys To Work
S12000013,2003,Ratio,Percent Of Journeys,21.3,% Shopping Journeys
S12000013,2003,Ratio,Percent Of Journeys,19.5,% Commuting Journeys
S12000013,1999,Ratio,Percent Of Journeys,30.9,% Commuting Journeys
S12000013,2001,Ratio,Percent Of Journeys,17.3,% Shopping Journeys
S12000013,2009,Ratio,Percent Of Journeys,6.6,% Bus Journeys To Work
S12000013,1999,Ratio,Percent Of Journeys,10.9,% Business Journeys
S12000013,2015,Ratio,Percent Of Journeys,7.1,% Business Journeys
S12000013,2013,Ratio,Percent Of Journeys,6.3,% Business Journeys
S12000013,2015,Ratio,Percent Of Journeys,19.5,% Shopping Journeys
S12000013,2018,Ratio,Percent Of Journeys,7,% Business Journeys
S12000013,2009,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2016,Ratio,Percent Of Journeys,21.9,% Commuting Journeys
S12000013,2013,Ratio,Percent Of Journeys,21.5,% Shopping Journeys
S12000013,2013,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2012,Ratio,Percent Of Journeys,4.2,% Business Journeys
S12000013,2019,Ratio,Percent Of Journeys,12,% Walking Journeys To Work
S12000013,2001,Ratio,Percent Of Journeys,39,% Commuting Journeys
S12000013,2003,Ratio,Percent Of Journeys,13.2,% Walking Journeys To Work
S12000013,2005,Ratio,Percent Of Journeys,3,% Health Journeys
S12000013,2015,Ratio,Percent Of Journeys,0.8,% Train Journeys To Work
S12000013,2014,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2013,Ratio,Percent Of Journeys,18.3,% Child Journeys To School By Walking/Cycling
S12000013,2019,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000013,2016,Ratio,Percent Of Journeys,17.3,% Child Journeys To School By Walking/Cycling
S12000013,2016,Ratio,Percent Of Journeys,0.4,% Train Journeys To Work
S12000013,2009,Ratio,Percent Of Journeys,7.9,% Walking Journeys To Work
S12000013,2019,Ratio,Percent Of Journeys,1,% Business Journeys
S12000013,2017,Ratio,Percent Of Journeys,4.4,% Education Journeys
S12000013,2005,Ratio,Percent Of Journeys,10.7,% Walking Journeys To Work
S12000013,2018,Ratio,Percent Of Journeys,0,% Train Journeys To Work
S12000013,2001,Ratio,Percent Of Journeys,7.3,% Walking Journeys To Work
S12000013,2005,Ratio,Percent Of Journeys,7,% Business Journeys
S12000013,2001,Ratio,Percent Of Journeys,8.9,% Business Journeys
S12000013,1999,Ratio,Percent Of Journeys,1.6,% Health Journeys
S12000013,2001,Ratio,Percent Of Journeys,1.1,% Health Journeys
S12000013,2012,Ratio,Percent Of Journeys,1,% Health Journeys
S12000013,2009,Ratio,Percent Of Journeys,2.6,% Health Journeys
S12000013,2009,Ratio,Percent Of Journeys,6.7,% Business Journeys
S12000013,2007,Ratio,Percent Of Journeys,3.1,% Business Journeys
S12000013,2012,Ratio,Percent Of Journeys,24.2,% Commuting Journeys
S12000013,2007,Ratio,Percent Of Journeys,28.9,% Commuting Journeys
S12000013,2007,Ratio,Percent Of Journeys,2.9,% Health Journeys
S12000013,2015,Ratio,Percent Of Journeys,19.1,% Child Journeys To School By Walking/Cycling
S12000013,2003,Ratio,Percent Of Journeys,2.9,% Health Journeys
S12000013,2003,Ratio,Percent Of Journeys,7,% Business Journeys
S12000014,2019,Ratio,Percent Of Journeys,3,% Cycling Journeys To Work
S12000014,2014,Ratio,Percent Of Journeys,1.7,% Cycling Journeys To Work
S12000014,2014,Ratio,Percent Of Journeys,0.8,% Business Journeys
S12000014,2014,Ratio,Percent Of Journeys,7,% Walking Journeys To Work
S12000014,2016,Ratio,Percent Of Journeys,1.7,% Business Journeys
S12000014,2003,Ratio,Percent Of Journeys,46.2,% Child Journeys To School By Walking/Cycling
S12000014,2018,Ratio,Percent Of Journeys,4,% Education Journeys
S12000014,2017,Ratio,Percent Of Journeys,4.9,% Bus Journeys To Work
S12000014,2019,Ratio,Percent Of Journeys,11,% Education Journeys
S12000014,2018,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000014,2018,Ratio,Percent Of Journeys,23,% Commuting Journeys
S12000014,2018,Ratio,Percent Of Journeys,11,% Bus Journeys To Work
S12000014,2016,Ratio,Percent Of Journeys,1.7,% Cycling Journeys To Work
S12000014,2018,Ratio,Percent Of Journeys,2,% Business Journeys
S12000014,1999,Ratio,Percent Of Journeys,18.5,% Commuting Journeys
S12000014,2015,Ratio,Percent Of Journeys,0.8,% Business Journeys
S12000014,2015,Ratio,Percent Of Journeys,0.9,% Cycling Journeys To Work
S12000014,2001,Ratio,Percent Of Journeys,19.1,% Shopping Journeys
S12000014,2013,Ratio,Percent Of Journeys,18.3,% Commuting Journeys
S12000014,2013,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000014,2017,Ratio,Percent Of Journeys,1.3,% Business Journeys
S12000014,2003,Ratio,Percent Of Journeys,20.9,% Commuting Journeys
S12000014,1999,Ratio,Percent Of Journeys,2.3,% Cycling Journeys To Work
S12000014,2007,Ratio,Percent Of Journeys,1.8,% Business Journeys
S12000014,2001,Ratio,Percent Of Journeys,18,% Commuting Journeys
S12000014,1999,Ratio,Percent Of Journeys,5,% Business Journeys
S12000014,2003,Ratio,Percent Of Journeys,0.6,% Cycling Journeys To Work
S12000014,2018,Ratio,Percent Of Journeys,28,% Shopping Journeys
S12000014,2007,Ratio,Percent Of Journeys,21.7,% Commuting Journeys
S12000014,2014,Ratio,Percent Of Journeys,25.8,% Commuting Journeys
S12000014,2005,Ratio,Percent Of Journeys,4,% Business Journeys
S12000014,2019,Ratio,Percent Of Journeys,5,% Walking Journeys To Work
S12000014,2003,Ratio,Percent Of Journeys,4.2,% Business Journeys
S12000014,2016,Ratio,Percent Of Journeys,20.2,% Commuting Journeys
S12000014,2009,Ratio,Percent Of Journeys,1.5,% Business Journeys
S12000014,2017,Ratio,Percent Of Journeys,22.9,% Shopping Journeys
S12000014,2001,Ratio,Percent Of Journeys,3.9,% Business Journeys
S12000014,2001,Ratio,Percent Of Journeys,1.1,% Cycling Journeys To Work
S12000014,2009,Ratio,Percent Of Journeys,55.9,% Child Journeys To School By Walking/Cycling
S12000014,1999,Ratio,Percent Of Journeys,21,% Shopping Journeys
S12000014,2007,Ratio,Percent Of Journeys,58.8,% Child Journeys To School By Walking/Cycling
S12000014,2012,Ratio,Percent Of Journeys,1.5,% Business Journeys
S12000014,2013,Ratio,Percent Of Journeys,27.8,% Shopping Journeys
S12000014,2013,Ratio,Percent Of Journeys,1.1,% Business Journeys
S12000014,2012,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000014,2005,Ratio,Percent Of Journeys,1.2,% Cycling Journeys To Work
S12000014,2017,Ratio,Percent Of Journeys,8.4,% Education Journeys
S12000014,2001,Ratio,Percent Of Journeys,10.4,% Walking Journeys To Work
S12000014,2003,Ratio,Percent Of Journeys,6.9,% Walking Journeys To Work
S12000014,2007,Ratio,Percent Of Journeys,5.3,% Cycling Journeys To Work
S12000014,2009,Ratio,Percent Of Journeys,2.6,% Cycling Journeys To Work
S12000014,2015,Ratio,Percent Of Journeys,7.1,% Walking Journeys To Work
S12000014,1999,Ratio,Percent Of Journeys,8.6,% Walking Journeys To Work
S12000014,2012,Ratio,Percent Of Journeys,5.5,% Walking Journeys To Work
S12000014,2018,Ratio,Percent Of Journeys,11,% Walking Journeys To Work
S12000014,2019,Ratio,Percent Of Journeys,19,% Shopping Journeys
S12000014,2003,Ratio,Percent Of Journeys,3.9,% Train Journeys To Work
S12000014,2013,Ratio,Percent Of Journeys,9.9,% Bus Journeys To Work
S12000014,2009,Ratio,Percent Of Journeys,22.9,% Commuting Journeys
S12000014,2017,Ratio,Percent Of Journeys,1.3,% Health Journeys
S12000014,2014,Ratio,Percent Of Journeys,6,% Education Journeys
S12000014,2019,Ratio,Percent Of Journeys,3,% Business Journeys
S12000014,2016,Ratio,Percent Of Journeys,3.2,% Bus Journeys To Work
S12000014,2007,Ratio,Percent Of Journeys,7.4,% Train Journeys To Work
S12000014,2015,Ratio,Percent Of Journeys,2.5,% Bus Journeys To Work
S12000014,2013,Ratio,Percent Of Journeys,1.7,% Train Journeys To Work
S12000014,2014,Ratio,Percent Of Journeys,5.6,% Bus Journeys To Work
S12000014,2017,Ratio,Percent Of Journeys,22.2,% Commuting Journeys
S12000014,2005,Ratio,Percent Of Journeys,24,% Commuting Journeys
S12000014,2015,Ratio,Percent Of Journeys,51.8,% Child Journeys To School By Walking/Cycling
S12000014,2015,Ratio,Percent Of Journeys,22.3,% Shopping Journeys
S12000014,2001,Ratio,Percent Of Journeys,2.1,% Health Journeys
S12000014,2003,Ratio,Percent Of Journeys,1.4,% Education Journeys
S12000014,2019,Ratio,Percent Of Journeys,3,% Bus Journeys To Work
S12000014,2001,Ratio,Percent Of Journeys,4.6,% Train Journeys To Work
S12000014,2012,Ratio,Percent Of Journeys,24.5,% Shopping Journeys
S12000014,2012,Ratio,Percent Of Journeys,3.5,% Train Journeys To Work
S12000014,2016,Ratio,Percent Of Journeys,6.9,% Education Journeys
S12000014,1999,Ratio,Percent Of Journeys,2.2,% Train Journeys To Work
S12000014,2005,Ratio,Percent Of Journeys,6.5,% Train Journeys To Work
S12000014,2013,Ratio,Percent Of Journeys,9.2,% Education Journeys
S12000014,2007,Ratio,Percent Of Journeys,6.1,% Bus Journeys To Work
S12000014,2005,Ratio,Percent Of Journeys,3,% Education Journeys
