area_code,reference_name,area_type,year,age,gender,outcome,measure_type,value,units
S12000040,West Lothian,Local Authority,1999,20-39 years,Male,Killed Or Seriously Injured,Count,33,People
S12000042,Dundee City,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S08000031,Greater Glasgow and Clyde,Health Board,2009,20-39 years,Male,Killed Or Seriously Injured,Count,105,People
S12000038,Renfrewshire,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,19,People
S08000031,Greater Glasgow and Clyde,Health Board,2009,40-59 years,Male,Killed Or Seriously Injured,Count,62,People
S08000019,Forth Valley,Health Board,2014,NA,Male,Killed Or Seriously Injured,Count,82,People
S08000017,Dumfries and Galloway,Health Board,2014,NA,Male,Killed Or Seriously Injured,Count,56,People
S12000038,Renfrewshire,Local Authority,1999,0-19 years,Male,Killed Or Seriously Injured,Count,25,People
S12000049,Glasgow City,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,57,People
S12000049,Glasgow City,Local Authority,1999,0-19 years,Male,Killed Or Seriously Injured,Count,118,People
S12000049,Glasgow City,Local Authority,1999,20-39 years,Male,Killed Or Seriously Injured,Count,100,People
S08000015,Ayrshire and Arran,Health Board,2010,20-39 years,Male,Killed Or Seriously Injured,Count,28,People
S12000028,South Ayrshire,Local Authority,2003,20-39 years,Male,Killed Or Seriously Injured,Count,21,People
S08000015,Ayrshire and Arran,Health Board,2010,40-59 years,Male,Killed Or Seriously Injured,Count,30,People
S08000019,Forth Valley,Health Board,2010,20-39 years,Male,Killed Or Seriously Injured,Count,33,People
S08000017,Dumfries and Galloway,Health Board,2010,40-59 years,Male,Killed Or Seriously Injured,Count,15,People
S08000019,Forth Valley,Health Board,2010,40-59 years,Male,Killed Or Seriously Injured,Count,25,People
S12000048,Perth and Kinross,Local Authority,1999,20-39 years,Male,Killed Or Seriously Injured,Count,69,People
S12000048,Perth and Kinross,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,29,People
S08000017,Dumfries and Galloway,Health Board,2010,20-39 years,Male,Killed Or Seriously Injured,Count,13,People
S08000028,Western Isles,Health Board,2015,NA,Male,Killed Or Seriously Injured,Count,3,People
S08000026,Shetland,Health Board,2015,NA,Male,Killed Or Seriously Injured,Count,3,People
S08000032,Lanarkshire,Health Board,2009,20-39 years,Male,Killed Or Seriously Injured,Count,52,People
S12000039,West Dunbartonshire,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,8,People
S08000022,Highland,Health Board,2014,NA,Male,Killed Or Seriously Injured,Count,103,People
S12000039,West Dunbartonshire,Local Authority,1999,20-39 years,Male,Killed Or Seriously Injured,Count,21,People
S12000039,West Dunbartonshire,Local Authority,1999,0-19 years,Male,Killed Or Seriously Injured,Count,14,People
S08000015,Ayrshire and Arran,Health Board,2010,0-19 years,Male,Killed Or Seriously Injured,Count,21,People
S12000028,South Ayrshire,Local Authority,2003,0-19 years,Male,Killed Or Seriously Injured,Count,16,People
S08000032,Lanarkshire,Health Board,2009,40-59 years,Male,Killed Or Seriously Injured,Count,33,People
S08000024,Lothian,Health Board,2015,NA,Male,Killed Or Seriously Injured,Count,184,People
S12000010,East Lothian,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,11,People
S12000010,East Lothian,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,10,People
S12000050,North Lanarkshire,Local Authority,2013,NA,Male,Killed Or Seriously Injured,Count,52,People
S12000008,East Ayrshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,2,People
S12000050,North Lanarkshire,Local Authority,2014,NA,Male,Killed Or Seriously Injured,Count,58,People
S12000008,East Ayrshire,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,12,People
S12000040,West Lothian,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,11,People
S12000041,Angus,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,23,People
S12000028,South Ayrshire,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,16,People
S12000006,Dumfries and Galloway,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,24,People
S12000006,Dumfries and Galloway,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,26,People
S12000006,Dumfries and Galloway,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,26,People
S12000005,Clackmannanshire,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,5,People
S12000050,North Lanarkshire,Local Authority,2006,NA,Male,Killed Or Seriously Injured,Count,73,People
S12000005,Clackmannanshire,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,3,People
S12000010,East Lothian,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,4,People
S12000005,Clackmannanshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,5,People
S12000050,North Lanarkshire,Local Authority,2007,NA,Male,Killed Or Seriously Injured,Count,97,People
S12000050,North Lanarkshire,Local Authority,2011,NA,Male,Killed Or Seriously Injured,Count,49,People
S12000050,North Lanarkshire,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,28,People
S12000008,East Ayrshire,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S12000010,East Lothian,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,6,People
S12000010,East Lothian,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,6,People
S12000050,North Lanarkshire,Local Authority,2012,NA,Male,Killed Or Seriously Injured,Count,45,People
S12000030,Stirling,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,15,People
S12000040,West Lothian,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,19,People
S12000030,Stirling,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,18,People
S12000030,Stirling,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,5,People
S12000050,North Lanarkshire,Local Authority,2002,NA,Male,Killed Or Seriously Injured,Count,99,People
S12000050,North Lanarkshire,Local Authority,2001,NA,Male,Killed Or Seriously Injured,Count,118,People
S12000021,North Ayrshire,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,16,People
S12000021,North Ayrshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,18,People
S12000050,North Lanarkshire,Local Authority,2005,NA,Male,Killed Or Seriously Injured,Count,82,People
S12000020,Moray,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,4,People
S12000020,Moray,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,11,People
S12000020,Moray,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,14,People
S12000027,Shetland Islands,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,1,People
S12000029,South Lanarkshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,33,People
S12000027,Shetland Islands,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,2,People
S12000029,South Lanarkshire,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,32,People
S12000028,South Ayrshire,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,11,People
S12000029,South Lanarkshire,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,21,People
S12000033,Aberdeen City,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,8,People
S12000033,Aberdeen City,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,15,People
S12000034,Aberdeenshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,40,People
S12000028,South Ayrshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,3,People
S12000027,Shetland Islands,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,1,People
S12000033,Aberdeen City,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,27,People
S08000017,Dumfries and Galloway,Health Board,2017,NA,Male,Killed Or Seriously Injured,Count,46,People
S12000006,Dumfries and Galloway,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,28,People
S12000050,North Lanarkshire,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,26,People
S08000016,Borders,Health Board,2017,NA,Male,Killed Or Seriously Injured,Count,45,People
S08000015,Ayrshire and Arran,Health Board,2017,NA,Male,Killed Or Seriously Injured,Count,101,People
S12000013,Na h-Eileanan Siar,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,3,People
S12000047,Fife,Local Authority,2017,NA,Male,Killed Or Seriously Injured,Count,54,People
S12000050,North Lanarkshire,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,14,People
S12000013,Na h-Eileanan Siar,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,2,People
S12000049,Glasgow City,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,62,People
S12000029,South Lanarkshire,Local Authority,2017,NA,Male,Killed Or Seriously Injured,Count,62,People
S12000049,Glasgow City,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,31,People
S12000050,North Lanarkshire,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,16,People
S12000050,North Lanarkshire,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,24,People
S12000013,Na h-Eileanan Siar,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,4,People
S12000008,East Ayrshire,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,32,People
S12000008,East Ayrshire,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,27,People
S12000008,East Ayrshire,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,19,People
S12000049,Glasgow City,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,42,People
S12000030,Stirling,Local Authority,2017,NA,Male,Killed Or Seriously Injured,Count,26,People
S12000050,North Lanarkshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,17,People
S12000014,Falkirk,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,6,People
S12000014,Falkirk,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000018,Inverclyde,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,6,People
S12000018,Inverclyde,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,2,People
S12000018,Inverclyde,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,7,People
S12000050,North Lanarkshire,Local Authority,2010,NA,Male,Killed Or Seriously Injured,Count,53,People
S12000050,North Lanarkshire,Local Authority,2008,NA,Male,Killed Or Seriously Injured,Count,69,People
S12000050,North Lanarkshire,Local Authority,2009,NA,Male,Killed Or Seriously Injured,Count,75,People
S12000017,Highland,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,15,People
S12000014,Falkirk,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,16,People
S12000017,Highland,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,41,People
S12000045,East Dunbartonshire,Local Authority,2017,NA,Male,Killed Or Seriously Injured,Count,8,People
S12000010,East Lothian,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,2,People
S12000011,East Renfrewshire,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,4,People
S12000013,Na h-Eileanan Siar,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,1,People
S12000048,Perth and Kinross,Local Authority,2017,NA,Male,Killed Or Seriously Injured,Count,56,People
S12000042,Dundee City,Local Authority,2017,NA,Male,Killed Or Seriously Injured,Count,24,People
S12000041,Angus,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,36,People
S12000041,Angus,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,19,People
S12000017,Highland,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,27,People
S12000011,East Renfrewshire,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,2,People
S12000011,East Renfrewshire,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,6,People
S12000038,Renfrewshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,16,People
S12000040,West Lothian,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000038,Renfrewshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S12000040,West Lothian,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,9,People
S12000040,West Lothian,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,20,People
S12000045,East Dunbartonshire,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,8,People
S12000050,North Lanarkshire,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,66,People
S08000032,Lanarkshire,Health Board,2015,NA,Male,Killed Or Seriously Injured,Count,86,People
S12000050,North Lanarkshire,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,56,People
S08000031,Greater Glasgow and Clyde,Health Board,2015,NA,Male,Killed Or Seriously Injured,Count,194,People
S12000038,Renfrewshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,7,People
S12000039,West Dunbartonshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,5,People
S12000034,Aberdeenshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,34,People
S12000034,Aberdeenshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,64,People
S12000035,Argyll and Bute,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,9,People
S12000036,City of Edinburgh,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,34,People
S12000036,City of Edinburgh,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,55,People
S08000031,Greater Glasgow and Clyde,Health Board,2012,NA,Male,Killed Or Seriously Injured,Count,241,People
S12000039,West Dunbartonshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,1,People
S08000031,Greater Glasgow and Clyde,Health Board,2016,NA,Male,Killed Or Seriously Injured,Count,214,People
S12000039,West Dunbartonshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,5,People
S12000035,Argyll and Bute,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,5,People
S12000035,Argyll and Bute,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,18,People
S08000031,Greater Glasgow and Clyde,Health Board,2013,NA,Male,Killed Or Seriously Injured,Count,159,People
S08000032,Lanarkshire,Health Board,2008,NA,Male,Killed Or Seriously Injured,Count,141,People
S12000048,Perth and Kinross,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,36,People
S08000032,Lanarkshire,Health Board,2012,NA,Male,Killed Or Seriously Injured,Count,83,People
S12000049,Glasgow City,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,104,People
S12000049,Glasgow City,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,115,People
S12000049,Glasgow City,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,54,People
S08000032,Lanarkshire,Health Board,2011,NA,Male,Killed Or Seriously Injured,Count,104,People
S12000050,North Lanarkshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,15,People
S12000048,Perth and Kinross,Local Authority,2000,NA,Male,Killed Or Seriously Injured,Count,127,People
S08000032,Lanarkshire,Health Board,2010,NA,Male,Killed Or Seriously Injured,Count,101,People
S08000032,Lanarkshire,Health Board,2013,NA,Male,Killed Or Seriously Injured,Count,104,People
S12000050,North Lanarkshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,17,People
S08000032,Lanarkshire,Health Board,2017,NA,Male,Killed Or Seriously Injured,Count,98,People
S08000032,Lanarkshire,Health Board,2016,NA,Male,Killed Or Seriously Injured,Count,112,People
S08000032,Lanarkshire,Health Board,2014,NA,Male,Killed Or Seriously Injured,Count,99,People
S12000047,Fife,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,46,People
S12000047,Fife,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,66,People
S12000047,Fife,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,25,People
S12000048,Perth and Kinross,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,68,People
S08000032,Lanarkshire,Health Board,2009,NA,Male,Killed Or Seriously Injured,Count,157,People
S12000048,Perth and Kinross,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,26,People
S12000023,Orkney Islands,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,1,People
S12000023,Orkney Islands,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,1,People
S12000023,Orkney Islands,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,0,People
S12000045,East Dunbartonshire,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,3,People
S12000045,East Dunbartonshire,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,7,People
S12000021,North Ayrshire,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,8,People
S12000047,Fife,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,54,People
S12000042,Dundee City,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000045,East Dunbartonshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,5,People
S12000042,Dundee City,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,6,People
S12000042,Dundee City,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,10,People
S12000050,North Lanarkshire,Local Authority,2000,NA,Male,Killed Or Seriously Injured,Count,170,People
S12000050,North Lanarkshire,Local Authority,2004,NA,Male,Killed Or Seriously Injured,Count,77,People
S12000050,North Lanarkshire,Local Authority,2003,NA,Male,Killed Or Seriously Injured,Count,100,People
S12000019,Midlothian,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,11,People
S12000019,Midlothian,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,4,People
S12000040,West Lothian,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,18,People
S12000019,Midlothian,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,10,People
S12000026,Scottish Borders,Local Authority,2009,20-39 years,Male,Killed Or Seriously Injured,Count,17,People
S12000050,North Lanarkshire,Local Authority,1997,NA,Male,Killed Or Seriously Injured,Count,151,People
S12000026,Scottish Borders,Local Authority,2009,40-59 years,Male,Killed Or Seriously Injured,Count,27,People
S12000026,Scottish Borders,Local Authority,2009,0-19 years,Male,Killed Or Seriously Injured,Count,10,People
S12000050,North Lanarkshire,Local Authority,1998,NA,Male,Killed Or Seriously Injured,Count,166,People
S12000050,North Lanarkshire,Local Authority,1996,NA,Male,Killed Or Seriously Injured,Count,145,People
S12000047,Fife,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,19,People
S12000045,East Dunbartonshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,1,People
S12000047,Fife,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,25,People
S12000042,Dundee City,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,16,People
S12000048,Perth and Kinross,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,16,People
S12000045,East Dunbartonshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,8,People
S12000042,Dundee City,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,17,People
S12000036,City of Edinburgh,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,26,People
S08000031,Greater Glasgow and Clyde,Health Board,2014,NA,Male,Killed Or Seriously Injured,Count,189,People
S12000047,Fife,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,15,People
S08000032,Lanarkshire,Health Board,2005,NA,Male,Killed Or Seriously Injured,Count,149,People
S08000032,Lanarkshire,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,139,People
S12000041,Angus,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,13,People
S12000047,Fife,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,36,People
S12000041,Angus,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,6,People
S12000041,Angus,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,7,People
S12000050,North Lanarkshire,Local Authority,1999,NA,Male,Killed Or Seriously Injured,Count,143,People
S12000047,Fife,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,33,People
S08000032,Lanarkshire,Health Board,2007,NA,Male,Killed Or Seriously Injured,Count,183,People
S12000042,Dundee City,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,9,People
S12000048,Perth and Kinross,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,19,People
S08000031,Greater Glasgow and Clyde,Health Board,2017,NA,Male,Killed Or Seriously Injured,Count,193,People
S12000048,Perth and Kinross,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000045,East Dunbartonshire,Local Authority,2008,0-19 years,Male,Killed Or Seriously Injured,Count,1,People
S12000045,East Dunbartonshire,Local Authority,2008,40-59 years,Male,Killed Or Seriously Injured,Count,2,People
S12000045,East Dunbartonshire,Local Authority,2008,20-39 years,Male,Killed Or Seriously Injured,Count,10,People
S12000042,Dundee City,Local Authority,2008,40-59 years,Male,Killed Or Seriously Injured,Count,7,People
S08000028,Western Isles,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,6,People
S12000050,North Lanarkshire,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,31,People
S12000050,North Lanarkshire,Local Authority,2008,20-39 years,Male,Killed Or Seriously Injured,Count,26,People
S12000050,North Lanarkshire,Local Authority,2008,0-19 years,Male,Killed Or Seriously Injured,Count,24,People
S12000048,Perth and Kinross,Local Authority,2008,40-59 years,Male,Killed Or Seriously Injured,Count,30,People
S12000049,Glasgow City,Local Authority,2008,40-59 years,Male,Killed Or Seriously Injured,Count,45,People
S08000015,Ayrshire and Arran,Health Board,2007,NA,Male,Killed Or Seriously Injured,Count,104,People
S12000050,North Lanarkshire,Local Authority,2008,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S12000023,Orkney Islands,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,3,People
S12000023,Orkney Islands,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,7,People
S08000026,Shetland,Health Board,2005,NA,Male,Killed Or Seriously Injured,Count,8,People
S12000026,Scottish Borders,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,25,People
S08000024,Lothian,Health Board,2005,NA,Male,Killed Or Seriously Injured,Count,271,People
S12000026,Scottish Borders,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000049,Glasgow City,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,71,People
S12000049,Glasgow City,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,45,People
S12000047,Fife,Local Authority,2008,40-59 years,Male,Killed Or Seriously Injured,Count,21,People
S12000047,Fife,Local Authority,2008,20-39 years,Male,Killed Or Seriously Injured,Count,39,People
S12000047,Fife,Local Authority,2008,0-19 years,Male,Killed Or Seriously Injured,Count,24,People
S08000025,Orkney,Health Board,2005,NA,Male,Killed Or Seriously Injured,Count,8,People
S08000017,Dumfries and Galloway,Health Board,2008,40-59 years,Male,Killed Or Seriously Injured,Count,17,People
S08000019,Forth Valley,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,100,People
S08000024,Lothian,Health Board,2008,0-19 years,Male,Killed Or Seriously Injured,Count,55,People
S08000017,Dumfries and Galloway,Health Board,2008,20-39 years,Male,Killed Or Seriously Injured,Count,26,People
S08000017,Dumfries and Galloway,Health Board,2008,0-19 years,Male,Killed Or Seriously Injured,Count,20,People
S08000017,Dumfries and Galloway,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,112,People
S08000024,Lothian,Health Board,2008,40-59 years,Male,Killed Or Seriously Injured,Count,58,People
S08000025,Orkney,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,5,People
S08000020,Grampian,Health Board,2008,40-59 years,Male,Killed Or Seriously Injured,Count,78,People
S08000026,Shetland,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,9,People
S08000024,Lothian,Health Board,2008,20-39 years,Male,Killed Or Seriously Injured,Count,87,People
S08000024,Lothian,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,264,People
S12000049,Glasgow City,Local Authority,2008,20-39 years,Male,Killed Or Seriously Injured,Count,81,People
S12000049,Glasgow City,Local Authority,2008,0-19 years,Male,Killed Or Seriously Injured,Count,51,People
S08000020,Grampian,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,208,People
S12000048,Perth and Kinross,Local Authority,2008,0-19 years,Male,Killed Or Seriously Injured,Count,15,People
S12000048,Perth and Kinross,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,19,People
S12000048,Perth and Kinross,Local Authority,2008,20-39 years,Male,Killed Or Seriously Injured,Count,26,People
S08000020,Grampian,Health Board,2008,0-19 years,Male,Killed Or Seriously Injured,Count,69,People
S08000019,Forth Valley,Health Board,2008,20-39 years,Male,Killed Or Seriously Injured,Count,38,People
S08000020,Grampian,Health Board,2008,20-39 years,Male,Killed Or Seriously Injured,Count,122,People
S08000022,Highland,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,185,People
S08000019,Forth Valley,Health Board,2008,40-59 years,Male,Killed Or Seriously Injured,Count,32,People
S08000019,Forth Valley,Health Board,2008,0-19 years,Male,Killed Or Seriously Injured,Count,29,People
S12000041,Angus,Local Authority,2003,20-39 years,Male,Killed Or Seriously Injured,Count,20,People
S12000021,North Ayrshire,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S12000021,North Ayrshire,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,33,People
S08000020,Grampian,Health Board,2008,NA,Male,Killed Or Seriously Injured,Count,299,People
S12000019,Midlothian,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,7,People
S08000022,Highland,Health Board,2008,NA,Male,Killed Or Seriously Injured,Count,181,People
S12000017,Highland,Local Authority,1998,20-39 years,Male,Killed Or Seriously Injured,Count,94,People
S12000041,Angus,Local Authority,2003,0-19 years,Male,Killed Or Seriously Injured,Count,11,People
S12000017,Highland,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,75,People
S12000041,Angus,Local Authority,2003,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S12000021,North Ayrshire,Local Authority,1998,0-19 years,Male,Killed Or Seriously Injured,Count,27,People
S12000017,Highland,Local Authority,1998,40-59 years,Male,Killed Or Seriously Injured,Count,38,People
S12000033,Aberdeen City,Local Authority,1999,20-39 years,Male,Killed Or Seriously Injured,Count,23,People
S12000033,Aberdeen City,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,16,People
S12000030,Stirling,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,19,People
S12000029,South Lanarkshire,Local Authority,1999,20-39 years,Male,Killed Or Seriously Injured,Count,74,People
S12000029,South Lanarkshire,Local Authority,1999,40-59 years,Male,Killed Or Seriously Injured,Count,41,People
S12000033,Aberdeen City,Local Authority,1999,0-19 years,Male,Killed Or Seriously Injured,Count,12,People
