area_code,reference_area,area_type,year,indicator,value,units
S12000011,East Renfrewshire,Local Authority,2013,% Child Journeys To School By Walking/Cycling,59,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2018,% Health Journeys,2,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2018,% Commuting Journeys,22,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2016,% Bus Journeys To Work,8.9,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2017,% Education Journeys,11,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2005,% Bus Journeys To Work,7.8,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,1999,% Cycling Journeys To Work,1,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2019,% Shopping Journeys,21,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2003,% Shopping Journeys,19.4,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2009,% Train Journeys To Work,9.8,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2016,% Train Journeys To Work,6.9,Percent Of Journeys
S12000011,East Renfrewshire,Local Authority,2009,% Cycling Journeys To Work,1.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Shopping Journeys,13,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Bus Journeys To Work,16.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Education Journeys,2.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Education Journeys,3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Commuting Journeys,25.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Health Journeys,1.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Bus Journeys To Work,14.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Education Journeys,1.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Commuting Journeys,28,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Shopping Journeys,19,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Child Journeys To School By Walking/Cycling,15.8,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Bus Journeys To Work,18.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Cycling Journeys To Work,0.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Education Journeys,2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Bus Journeys To Work,7.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Child Journeys To School By Walking/Cycling,18.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Walking Journeys To Work,11.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Commuting Journeys,28.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Walking Journeys To Work,11.8,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Walking Journeys To Work,15,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Cycling Journeys To Work,0.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Cycling Journeys To Work,0.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Commuting Journeys,31,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Cycling Journeys To Work,0.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Education Journeys,3.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Cycling Journeys To Work,0.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Health Journeys,1.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Cycling Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Health Journeys,2.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Walking Journeys To Work,15.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Cycling Journeys To Work,0.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Education Journeys,4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Walking Journeys To Work,9.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Commuting Journeys,36,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Child Journeys To School By Walking/Cycling,20,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Shopping Journeys,19.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Cycling Journeys To Work,0.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Bus Journeys To Work,6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Child Journeys To School By Walking/Cycling,17.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Cycling Journeys To Work,2.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Health Journeys,2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Child Journeys To School By Walking/Cycling,19.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Education Journeys,2.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Education Journeys,2.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Cycling Journeys To Work,0.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Cycling Journeys To Work,1.8,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Shopping Journeys,17.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Bus Journeys To Work,7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Commuting Journeys,18.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Bus Journeys To Work,7.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Bus Journeys To Work,17,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Health Journeys,2.8,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Education Journeys,5.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Health Journeys,2.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Education Journeys,3.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Cycling Journeys To Work,1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Cycling Journeys To Work,1.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Walking Journeys To Work,6.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Walking Journeys To Work,13.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Education Journeys,6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Shopping Journeys,17,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Bus Journeys To Work,7.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Bus Journeys To Work,7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Education Journeys,5.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Shopping Journeys,21,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Shopping Journeys,20.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Bus Journeys To Work,7.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Education Journeys,4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Shopping Journeys,21.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Walking Journeys To Work,10.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Walking Journeys To Work,16.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Business Journeys,6.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Commuting Journeys,19.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Bus Journeys To Work,4.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Shopping Journeys,17.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Child Journeys To School By Walking/Cycling,29.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Commuting Journeys,25.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Business Journeys,3.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Health Journeys,2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Child Journeys To School By Walking/Cycling,22.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Child Journeys To School By Walking/Cycling,17.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Child Journeys To School By Walking/Cycling,18.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Business Journeys,4.8,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Shopping Journeys,16.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Bus Journeys To Work,7.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Shopping Journeys,21.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Commuting Journeys,19.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Commuting Journeys,30.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Shopping Journeys,17.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Bus Journeys To Work,6.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Business Journeys,10.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Business Journeys,7.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Business Journeys,6.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Shopping Journeys,19.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Business Journeys,7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Commuting Journeys,21.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Shopping Journeys,21.5,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Business Journeys,4.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Walking Journeys To Work,12,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Commuting Journeys,39,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Walking Journeys To Work,13.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Health Journeys,3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Train Journeys To Work,0.8,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2014,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2013,% Child Journeys To School By Walking/Cycling,18.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Cycling Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Child Journeys To School By Walking/Cycling,17.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2016,% Train Journeys To Work,0.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Walking Journeys To Work,7.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2019,% Business Journeys,1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2017,% Education Journeys,4.4,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Walking Journeys To Work,10.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2018,% Train Journeys To Work,0,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Walking Journeys To Work,7.3,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2005,% Business Journeys,7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Business Journeys,8.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,1999,% Health Journeys,1.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2001,% Health Journeys,1.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Health Journeys,1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Health Journeys,2.6,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2009,% Business Journeys,6.7,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Business Journeys,3.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2012,% Commuting Journeys,24.2,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Commuting Journeys,28.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2007,% Health Journeys,2.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2015,% Child Journeys To School By Walking/Cycling,19.1,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Health Journeys,2.9,Percent Of Journeys
S12000013,Na h-Eileanan Siar,Local Authority,2003,% Business Journeys,7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Cycling Journeys To Work,3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Cycling Journeys To Work,1.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Business Journeys,0.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Walking Journeys To Work,7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Business Journeys,1.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Child Journeys To School By Walking/Cycling,46.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Education Journeys,4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Bus Journeys To Work,4.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Education Journeys,11,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Cycling Journeys To Work,0,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Commuting Journeys,23,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Bus Journeys To Work,11,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Cycling Journeys To Work,1.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Business Journeys,2,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Commuting Journeys,18.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Business Journeys,0.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Cycling Journeys To Work,0.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Shopping Journeys,19.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Commuting Journeys,18.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Cycling Journeys To Work,0,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Business Journeys,1.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Commuting Journeys,20.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Cycling Journeys To Work,2.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Business Journeys,1.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Commuting Journeys,18,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Business Journeys,5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Cycling Journeys To Work,0.6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Shopping Journeys,28,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Commuting Journeys,21.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Commuting Journeys,25.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Business Journeys,4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Walking Journeys To Work,5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Business Journeys,4.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Commuting Journeys,20.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Business Journeys,1.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Shopping Journeys,22.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Business Journeys,3.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Cycling Journeys To Work,1.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Child Journeys To School By Walking/Cycling,55.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Shopping Journeys,21,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Child Journeys To School By Walking/Cycling,58.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Business Journeys,1.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Shopping Journeys,27.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Business Journeys,1.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Cycling Journeys To Work,0,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Cycling Journeys To Work,1.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Education Journeys,8.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Walking Journeys To Work,10.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Walking Journeys To Work,6.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Cycling Journeys To Work,5.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Cycling Journeys To Work,2.6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Walking Journeys To Work,7.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Walking Journeys To Work,8.6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Walking Journeys To Work,5.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Walking Journeys To Work,11,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Shopping Journeys,19,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Train Journeys To Work,3.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Bus Journeys To Work,9.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Commuting Journeys,22.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Health Journeys,1.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Education Journeys,6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Business Journeys,3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Bus Journeys To Work,3.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Train Journeys To Work,7.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Bus Journeys To Work,2.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Train Journeys To Work,1.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Bus Journeys To Work,5.6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Commuting Journeys,22.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Commuting Journeys,24,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Child Journeys To School By Walking/Cycling,51.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Shopping Journeys,22.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Health Journeys,2.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Education Journeys,1.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Bus Journeys To Work,3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Train Journeys To Work,4.6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Shopping Journeys,24.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Train Journeys To Work,3.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Education Journeys,6.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Train Journeys To Work,2.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Train Journeys To Work,6.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Education Journeys,9.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Bus Journeys To Work,6.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Education Journeys,3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Education Journeys,3.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Shopping Journeys,26,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Train Journeys To Work,4.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Shopping Journeys,25.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Education Journeys,4.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Bus Journeys To Work,8.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Bus Journeys To Work,7.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Bus Journeys To Work,10,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Education Journeys,6.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Education Journeys,1.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Shopping Journeys,22.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Shopping Journeys,22.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Train Journeys To Work,3.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Train Journeys To Work,6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Education Journeys,0.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Train Journeys To Work,4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Shopping Journeys,17.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Bus Journeys To Work,7.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Train Journeys To Work,6.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Health Journeys,2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Bus Journeys To Work,3.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Bus Journeys To Work,8.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Health Journeys,0.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Cycling Journeys To Work,4.2,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Health Journeys,2.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2001,% Child Journeys To School By Walking/Cycling,52.6,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Walking Journeys To Work,12.6,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Child Journeys To School By Walking/Cycling,57.7,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Commuting Journeys,26.1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Health Journeys,1.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Shopping Journeys,23.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2019,% Commuting Journeys,18,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Health Journeys,3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2015,% Health Journeys,1.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Child Journeys To School By Walking/Cycling,58.9,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Walking Journeys To Work,8.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2014,% Child Journeys To School By Walking/Cycling,49.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Train Journeys To Work,5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Walking Journeys To Work,5.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Child Journeys To School By Walking/Cycling,46.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2007,% Walking Journeys To Work,8.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Health Journeys,4.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Walking Journeys To Work,9.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2009,% Walking Journeys To Work,8.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Child Journeys To School By Walking/Cycling,64.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,2003,% Health Journeys,2.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2005,% Health Journeys,3,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Health Journeys,2.3,Percent Of Journeys
S12000014,Falkirk,Local Authority,2017,% Train Journeys To Work,7.5,Percent Of Journeys
S12000014,Falkirk,Local Authority,2016,% Child Journeys To School By Walking/Cycling,49,Percent Of Journeys
S12000014,Falkirk,Local Authority,2018,% Health Journeys,1,Percent Of Journeys
S12000014,Falkirk,Local Authority,2012,% Commuting Journeys,22.4,Percent Of Journeys
S12000014,Falkirk,Local Authority,1999,% Education Journeys,0.8,Percent Of Journeys
S12000014,Falkirk,Local Authority,2013,% Health Journeys,2.6,Percent Of Journeys
S12000017,Highland,Local Authority,2007,% Train Journeys To Work,1,Percent Of Journeys
S12000017,Highland,Local Authority,2009,% Shopping Journeys,18.6,Percent Of Journeys
S12000017,Highland,Local Authority,2018,% Child Journeys To School By Walking/Cycling,45,Percent Of Journeys
S12000017,Highland,Local Authority,2005,% Train Journeys To Work,1.3,Percent Of Journeys
S12000017,Highland,Local Authority,2015,% Commuting Journeys,27.8,Percent Of Journeys
